protein,pfam_name,pfam_accession,full_seq_evalue,full_seq_score,full_seq_bias,best_domain_evalue,best_domain_score,best_domain_bias
NP_414857.1,AA_kinase,PF00696,2.9e-25,82.0,0.5,5.5e-25,81.1,0.5
NP_414881.1,Pyr_redox,PF00070,3.4e-07,23.5,0.1,1.7e-06,21.2,0.1
NP_414900.1,ABC_tran,PF00005,1.6e-37,121.8,0.0,2.3e-37,121.4,0.0
NP_414922.1,AAA,PF00004,1.7e-08,27.7,0.0,1.3e-06,21.6,0.0
NP_414934.1,HATPase_c,PF02518,9.6e-33,105.7,0.1,1.9e-32,104.8,0.1
NP_414972.1,AAA,PF00004,1.3e-18,60.4,0.0,9.4e-18,57.7,0.0
NP_414973.1,AAA,PF00004,1.5e-23,76.4,0.0,3.4e-23,75.3,0.0
NP_414982.1,ABC_tran,PF00005,2.8e-33,108.1,0.0,4.9e-33,107.3,0.0
NP_414983.1,ABC_tran,PF00005,7.4e-34,110.0,0.0,1.5e-33,109.0,0.0
NP_415003.1,AAA,PF00004,7e-14,45.1,0.0,3.8e-13,42.7,0.0
NP_415005.1,Toprim_4,PF13662,5.7e-28,89.8,0.0,1e-27,88.9,0.0
NP_415005.1,Toprim,PF01751,1.8e-18,59.3,0.0,2.8e-18,58.7,0.0
NP_415006.1,HATPase_c,PF02518,4.4e-11,36.0,0.1,8.9e-11,35.0,0.1
NP_415023.1,ABC_tran,PF00005,7.7e-34,109.9,0.0,1.1e-33,109.4,0.0
NP_415023.1,AAA,PF00004,3.8e-08,26.6,1.8,2.1e-06,20.9,1.8
NP_415028.1,ABC_tran,PF00005,3.1e-36,117.7,0.0,4.1e-36,117.3,0.0
NP_415054.1,AA_kinase,PF00696,4.1e-28,91.3,0.0,6.4e-28,90.7,0.0
NP_415059.1,tRNA-synt_1e,PF01406,8.4e-155,507.2,0.2,1.1e-154,506.8,0.2
NP_415059.1,tRNA-synt_1g,PF09334,4.8e-17,54.4,1.6,5.6e-09,27.8,0.2
NP_415059.1,tRNA-synt_1,PF00133,6.9e-09,27.5,0.1,1e-07,23.6,0.0
NP_415102.1,HATPase_c,PF02518,3.1e-29,94.4,0.0,5.5e-29,93.6,0.0
NP_415120.1,ABC_tran,PF00005,3.9e-37,120.6,0.0,5.6e-37,120.1,0.0
NP_415139.2,Pyr_redox_2,PF07992,5.2e-51,166.4,6.1,9.5e-51,165.5,6.0
NP_415139.2,Pyr_redox,PF00070,7.6e-18,57.6,5.6,5.4e-17,54.9,0.4
NP_415152.1,HATPase_c,PF02518,4e-20,65.1,0.0,6.8e-20,64.3,0.0
NP_415175.1,tRNA-synt_1,PF00133,5.1e-53,172.9,5.4,2.8e-33,107.9,2.0
NP_415175.1,tRNA-synt_1g,PF09334,7.4e-35,113.0,0.1,1.9e-25,82.0,0.0
NP_415175.1,Anticodon_1,PF08264,2.1e-22,72.3,0.0,3.7e-22,71.5,0.0
NP_415185.1,ABC_tran,PF00005,2.5e-38,124.5,0.0,3.4e-38,124.0,0.0
NP_415191.1,CBS,PF00571,1.3e-19,63.1,2.9,4.5e-11,35.7,0.1
NP_415206.1,tRNA-synt_1c,PF00749,6.2e-132,431.9,0.0,7.9e-132,431.5,0.0
NP_415223.1,HATPase_c,PF02518,5.9e-30,96.7,0.0,1.7e-29,95.2,0.0
NP_415281.1,ABC_tran,PF00005,1.8e-52,170.3,0.0,1.2e-30,99.6,0.0
NP_415281.1,AAA,PF00004,6e-07,22.7,0.1,0.0003,13.9,0.0
NP_415286.1,ABC_tran,PF00005,1.6e-36,118.7,0.0,2.6e-36,118.0,0.0
NP_415300.1,Helicase_C,PF00271,6.8e-23,73.8,0.2,1.8e-22,72.4,0.2
NP_415315.4,ABC_tran,PF00005,3.3e-63,205.1,0.0,5.5e-33,107.2,0.0
NP_415315.4,AAA,PF00004,6.5e-07,22.6,0.3,0.0022,11.2,0.1
NP_415318.1,Helicase_C,PF00271,2.4e-33,107.4,0.0,1.5e-32,104.8,0.0
NP_415330.1,ABC_tran,PF00005,1.2e-40,132.0,0.0,1.7e-40,131.5,0.0
NP_415341.1,ABC_tran,PF00005,2.5e-50,163.3,0.0,1.7e-27,89.4,0.0
NP_415341.1,MMR_HSR1,PF01926,6.2e-07,22.3,0.0,0.00082,12.2,0.1
NP_415350.2,ABC_tran,PF00005,6.1e-66,213.9,0.0,3e-33,108.0,0.0
NP_415376.4,ABC_tran,PF00005,8.5e-42,135.7,0.0,1.3e-41,135.1,0.0
NP_415385.1,ABC_tran,PF00005,4.2e-41,133.5,0.0,5.9e-41,133.0,0.0
NP_415400.1,ABC_tran,PF00005,3.9e-36,117.4,0.0,7.5e-36,116.5,0.0
NP_415403.1,AAA,PF00004,2.8e-28,91.7,0.1,6.8e-16,51.6,0.0
NP_415404.1,eIF-1a,PF01176,2.7e-31,99.8,0.1,3e-31,99.6,0.1
NP_415406.1,ABC_tran,PF00005,1.2e-35,115.8,0.3,2.5e-35,114.8,0.0
NP_415407.1,ABC_tran,PF00005,1.9e-32,105.5,0.0,3.3e-32,104.7,0.0
NP_415408.1,Pyr_redox_2,PF07992,2.3e-56,184.0,0.3,2.7e-56,183.8,0.3
NP_415408.1,Pyr_redox,PF00070,1.2e-20,66.6,1.9,2.8e-19,62.2,0.7
NP_415412.1,AAA,PF00004,6.6e-22,71.1,0.1,4.3e-21,68.4,0.0
NP_415413.1,tRNA-synt_2b,PF00587,1.2e-45,148.4,0.0,1.9e-45,147.8,0.0
NP_415427.1,Aminotran_5,PF00266,1.9e-74,243.5,0.0,2.1e-74,243.3,0.0
NP_415431.1,S1,PF00575,4.4e-106,340.2,35.2,2.6e-24,78.2,0.8
NP_415434.1,ABC_tran,PF00005,1.7e-38,125.0,0.2,8.3e-38,122.8,0.0
NP_415450.1,tRNA-synt_2,PF00152,1.7e-66,217.0,0.0,2.1e-66,216.7,0.0
NP_415450.1,tRNA_anti-codon,PF01336,5e-17,54.4,0.2,1.9e-16,52.6,0.0
NP_415453.1,ABC_tran,PF00005,5.8e-33,107.1,0.0,8.3e-33,106.6,0.0
NP_415469.1,ABC_tran,PF00005,4.1e-52,169.1,3.2,5.9e-28,90.9,0.0
NP_415469.1,AAA,PF00004,2.7e-08,27.1,0.0,8.4e-05,15.8,0.0
NP_415469.1,MMR_HSR1,PF01926,9.7e-08,24.9,0.1,0.0012,11.7,0.0
NP_415513.2,HATPase_c,PF02518,2.7e-30,97.8,0.0,8.3e-30,96.2,0.0
NP_415552.1,PHP,PF02811,7.7e-12,38.5,1.1,4.9e-11,35.9,1.1
NP_415602.1,S1,PF00575,4.2e-15,48.7,0.0,1e-14,47.4,0.0
NP_415604.1,S4,PF01479,1.4e-13,43.1,0.2,2.6e-13,42.3,0.2
NP_415618.1,TatD_DNase,PF01026,7.4e-89,290.1,0.0,8.4e-89,289.9,0.0
NP_415627.1,Pyr_redox_2,PF07992,3.9e-67,219.3,0.1,4.5e-67,219.1,0.1
NP_415627.1,Pyr_redox,PF00070,1.2e-18,60.1,3.9,3.3e-12,39.5,0.6
NP_415632.1,Helicase_C,PF00271,3.5e-25,81.2,1.7,7.3e-22,70.5,0.5
NP_415635.4,ABC_tran,PF00005,5.5e-41,133.1,0.0,7.7e-41,132.6,0.0
NP_415644.1,ABC_tran,PF00005,2e-39,128.1,0.0,4.5e-39,126.9,0.0
NP_415647.1,HATPase_c,PF02518,2.7e-19,62.4,0.1,4.7e-19,61.6,0.1
NP_415707.1,Pyr_redox_2,PF07992,2.1e-10,33.1,0.4,3.8e-07,22.4,0.3
NP_415707.1,Pyr_redox,PF00070,1.8e-09,30.8,0.1,4.4e-07,23.1,0.2
NP_415721.1,MMR_HSR1,PF01926,1.1e-22,73.0,0.0,2.4e-22,71.9,0.0
NP_415740.1,HATPase_c,PF02518,4e-18,58.6,0.1,7.9e-18,57.7,0.1
NP_415763.1,ABC_tran,PF00005,4.7e-35,113.9,0.0,6.7e-35,113.4,0.0
NP_415779.1,GATase,PF00117,9.5e-53,171.4,0.0,1.6e-52,170.6,0.0
NP_415782.1,PHP,PF02811,3.1e-11,36.5,0.0,5.5e-11,35.7,0.0
NP_415783.6,Sua5_yciO_yrdC,PF01300,1.7e-52,170.2,0.0,1.9e-52,170.0,0.0
NP_415785.1,S4,PF01479,1.4e-13,43.1,0.1,5.1e-13,41.4,0.1
NP_415790.1,Topoisom_bac,PF01131,3.6e-131,430.5,0.5,3.6e-131,430.5,0.5
NP_415790.1,Toprim,PF01751,8.1e-24,76.4,0.0,2.1e-23,75.1,0.0
NP_415802.1,S1,PF00575,2.5e-16,52.6,1.1,4.4e-14,45.4,0.3
NP_415806.1,ABC_tran,PF00005,1.6e-38,125.1,0.0,3.4e-38,124.0,0.0
NP_415807.1,ABC_tran,PF00005,3.6e-33,107.8,0.0,1.7e-31,102.3,0.0
NP_415814.4,GATase,PF00117,3.1e-14,45.8,0.0,5.9e-14,44.8,0.0
NP_415839.1,AAA,PF00004,5.9e-07,22.7,0.0,1.4e-06,21.5,0.0
NP_415859.1,Helicase_C,PF00271,2.5e-33,107.4,0.0,7.7e-32,102.6,0.0
NP_415860.1,ATP_bind_3,PF01171,4.8e-16,51.7,0.0,7.2e-16,51.1,0.0
NP_415931.4,Helicase_C,PF00271,4.5e-15,48.6,0.1,1.8e-14,46.7,0.1
NP_415958.1,ABC_tran,PF00005,1.7e-36,118.6,0.0,3.8e-36,117.4,0.0
NP_416000.1,ABC_tran,PF00005,1.5e-31,102.5,0.0,2.4e-31,101.9,0.0
NP_416001.1,ABC_tran,PF00005,5.9e-32,103.8,0.0,7.8e-32,103.4,0.0
NP_416013.1,ABC_tran,PF00005,4.2e-21,68.7,0.0,1.2e-20,67.3,0.0
NP_416030.1,ABC_tran,PF00005,2.5e-55,179.6,0.2,7.5e-31,100.3,0.0
NP_416126.1,HATPase_c,PF02518,2.5e-27,88.3,0.0,4.7e-27,87.4,0.0
NP_416154.1,tRNA-synt_1b,PF00579,9.7e-98,319.7,0.0,1.2e-97,319.3,0.0
NP_416154.1,S4,PF01479,2.9e-09,29.3,0.0,7e-09,28.1,0.0
NP_416170.1,Helicase_C,PF00271,5.4e-16,51.6,0.1,6.4e-15,48.1,0.0
NP_416195.1,Aminotran_5,PF00266,1.4e-162,533.5,0.0,1.6e-162,533.3,0.0
NP_416197.1,ABC_tran,PF00005,6.5e-24,77.8,0.0,8.7e-24,77.4,0.0
NP_416214.1,Pyr_redox_2,PF07992,3.1e-10,32.6,3.7,3.9e-08,25.7,0.2
NP_416214.1,Pyr_redox,PF00070,7.3e-09,28.8,2.6,3e-05,17.2,1.8
NP_416224.1,ABC_tran,PF00005,9.2e-26,83.8,0.0,1.5e-25,83.1,0.0
NP_416228.1,tRNA_bind,PF01588,5.4e-29,92.9,0.4,1.8e-28,91.3,0.0
NP_416228.1,B5,PF03484,4e-27,86.9,1.1,6.1e-26,83.2,0.2
NP_416229.1,tRNA-synt_2d,PF01409,4.9e-110,359.4,0.1,6e-110,359.1,0.1
NP_416234.1,tRNA-synt_2b,PF00587,5.2e-66,214.8,0.0,9.1e-66,214.0,0.0
NP_416234.1,HGTP_anticodon,PF03129,3.3e-28,90.5,1.1,8.2e-28,89.2,1.1
NP_416234.1,tRNA_SAD,PF07973,3.7e-18,58.0,0.0,7.7e-18,57.0,0.0
NP_416270.1,ABC_tran,PF00005,8.7e-32,103.3,0.0,1.1e-31,102.9,0.0
NP_416277.1,Topoisom_bac,PF01131,2.9e-111,365.0,0.0,3.8e-111,364.6,0.0
NP_416277.1,Toprim,PF01751,4.7e-18,57.9,0.0,1.2e-17,56.7,0.0
NP_416321.1,TsaD,PF00814,8.1e-31,100.3,0.0,1.5e-30,99.4,0.0
NP_416330.1,CBS,PF00571,4.6e-10,32.5,1.3,8.4e-05,15.6,0.1
NP_416372.1,ABC_tran,PF00005,8.8e-32,103.3,0.0,1.4e-31,102.6,0.0
NP_416374.1,AAA,PF00004,3.5e-24,78.5,0.0,7e-24,77.5,0.0
NP_416380.1,tRNA-synt_2,PF00152,1.3e-126,414.5,0.0,1.5e-126,414.2,0.0
NP_416380.1,tRNA_anti-codon,PF01336,1.6e-20,65.6,0.0,3.4e-20,64.6,0.0
NP_416390.1,tRNA-synt_1d,PF00750,2.2e-183,601.6,0.3,2.8e-183,601.2,0.3
NP_416390.1,DALR_1,PF05746,4.2e-40,129.2,0.2,1.9e-39,127.1,0.2
NP_416402.2,HATPase_c,PF02518,9.4e-21,67.1,0.2,1.9e-20,66.1,0.2
NP_416413.1,ABC_tran,PF00005,5.6e-59,191.4,0.0,1.5e-37,122.0,0.0
NP_416427.1,ABC_tran,PF00005,3.8e-41,133.6,0.0,5.9e-41,133.0,0.0
NP_416451.1,ATP-synt_ab,PF00006,2.1e-88,288.2,0.1,3.1e-88,287.6,0.1
NP_416477.1,HATPase_c,PF02518,3.6e-20,65.2,0.0,6.6e-20,64.4,0.0
NP_416527.1,GATase,PF00117,8.3e-22,70.4,0.0,1e-21,70.2,0.0
NP_416540.1,Pyr_redox,PF00070,1.4e-07,24.8,0.0,3.3e-07,23.5,0.0
NP_416567.4,CBS,PF00571,1.5e-17,56.4,1.6,6.7e-09,28.8,0.0
NP_416582.1,HATPase_c,PF02518,3e-28,91.2,0.0,6.3e-28,90.2,0.0
NP_416617.1,tRNA-synt_1g,PF09334,4.8e-168,551.5,0.1,6e-168,551.2,0.1
NP_416617.1,tRNA_bind,PF01588,3e-27,87.3,0.0,8.4e-27,85.9,0.0
NP_416617.1,tRNA-synt_1,PF00133,1.2e-20,66.3,0.6,3.3e-14,45.0,0.1
NP_416617.1,tRNA-synt_1e,PF01406,1.4e-16,53.4,0.2,3.5e-08,25.8,0.0
NP_416630.1,HATPase_c,PF02518,1.2e-08,28.2,0.0,4.2e-08,26.4,0.0
NP_416633.1,ABC_tran,PF00005,1.3e-35,115.7,0.0,2.3e-35,114.9,0.0
NP_416633.1,CBS,PF00571,4e-08,26.3,0.2,3.7e-07,23.2,0.0
NP_416651.1,Pyr_redox_2,PF07992,7.7e-28,90.4,3.6,1.8e-27,89.1,3.6
NP_416651.1,Pyr_redox,PF00070,2.3e-17,56.1,0.6,5.2e-11,35.7,0.1
NP_416654.1,ABC_tran,PF00005,1.4e-53,173.9,0.2,1e-32,106.3,0.0
NP_416685.1,ABC_tran,PF00005,4e-67,217.7,0.1,2.6e-35,114.7,0.0
NP_416688.1,S4,PF01479,2.7e-12,39.0,0.2,5.5e-12,38.0,0.2
NP_416689.1,Helicase_C,PF00271,3.4e-17,55.5,0.0,1.9e-16,53.0,0.0
NP_416705.2,ABC_tran,PF00005,2.1e-38,124.7,0.0,2.9e-38,124.3,0.0
NP_416715.1,ABC_tran,PF00005,4.6e-32,104.2,0.0,8.7e-32,103.3,0.0
NP_416720.1,HATPase_c,PF02518,2.1e-14,46.7,0.0,4.5e-14,45.6,0.0
NP_416722.2,HATPase_c,PF02518,1.5e-34,111.5,0.0,3.1e-34,110.5,0.0
NP_416723.1,HATPase_c,PF02518,9.1e-28,89.7,0.0,2.4e-27,88.3,0.0
NP_416724.1,AAA,PF00004,7.9e-08,25.5,0.0,1.1e-06,21.9,0.0
NP_416756.6,Aminotran_5,PF00266,2.3e-08,26.0,0.2,3.1e-08,25.6,0.2
NP_416809.1,ABC_tran,PF00005,2.4e-38,124.5,0.1,3.6e-38,124.0,0.1
NP_416871.1,HATPase_c,PF02518,9.3e-30,96.1,0.1,1.7e-29,95.2,0.1
NP_416881.1,HATPase_c,PF02518,3.1e-13,42.9,0.0,5.9e-13,42.0,0.0
NP_416886.1,Peptidase_M24,PF00557,1.8e-75,245.9,0.1,2.4e-75,245.5,0.1
NP_416899.1,tRNA-synt_1c,PF00749,9.7e-128,418.1,0.0,1.6e-127,417.4,0.0
NP_416917.1,ABC_tran,PF00005,1.4e-43,141.5,0.0,2.5e-43,140.7,0.0
NP_416956.1,MMR_HSR1,PF01926,4.1e-07,22.9,0.1,2.4e-06,20.4,0.1
NP_416963.1,Pyr_redox_2,PF07992,3.7e-26,84.8,0.0,9.1e-26,83.5,0.0
NP_416963.1,Pyr_redox,PF00070,1.7e-14,46.9,0.4,1.1e-06,21.8,0.1
NP_416964.1,HATPase_c,PF02518,1.3e-16,53.8,0.0,2.4e-16,52.9,0.0
NP_416986.4,AAA,PF00004,7.5e-07,22.4,0.0,2.3e-06,20.8,0.0
NP_417002.1,GATase,PF00117,1.6e-49,160.9,0.0,2.3e-49,160.3,0.0
NP_417003.1,CBS,PF00571,1.5e-21,69.3,4.4,4.1e-12,39.1,0.2
NP_417004.1,tRNA_anti-codon,PF01336,3.8e-16,51.6,0.0,8e-16,50.5,0.0
NP_417006.2,MMR_HSR1,PF01926,4.7e-64,206.3,0.1,2.9e-33,107.1,0.0
NP_417006.2,GTP_EFTU,PF00009,6.7e-25,80.4,0.1,2.5e-13,42.7,0.1
NP_417009.1,tRNA-synt_His,PF13393,1.3e-42,138.7,0.0,1.7e-42,138.3,0.0
NP_417009.1,tRNA-synt_2b,PF00587,9.8e-39,125.9,0.0,1.7e-38,125.1,0.0
NP_417009.1,HGTP_anticodon,PF03129,3.5e-13,42.3,0.1,9.1e-13,41.0,0.0
NP_417037.1,Pyr_redox_2,PF07992,9e-61,198.4,0.0,1.1e-60,198.2,0.0
NP_417037.1,Pyr_redox,PF00070,1.1e-20,66.8,2.0,1.2e-18,60.2,0.1
NP_417042.1,ABC_tran,PF00005,1.3e-61,199.9,0.3,6.7e-34,110.1,0.0
NP_417051.2,HATPase_c,PF02518,3.9e-23,74.8,0.0,7.7e-23,73.8,0.0
NP_417061.1,MMR_HSR1,PF01926,1.8e-28,91.6,0.1,3.8e-28,90.6,0.1
NP_417061.1,KH_2,PF07650,1e-22,72.6,1.5,1.9e-22,71.7,0.8
NP_417061.1,GTP_EFTU,PF00009,2e-12,39.7,0.7,3.4e-10,32.5,0.7
NP_417064.1,GTP_EFTU,PF00009,2.4e-58,189.5,0.1,5e-58,188.5,0.1
NP_417064.1,EFG_C,PF00679,3.1e-22,71.2,0.0,7.1e-22,70.1,0.0
NP_417064.1,GTP_EFTU_D2,PF03144,1.2e-14,47.2,0.4,3.5e-14,45.8,0.4
NP_417069.1,Pyr_redox_2,PF07992,2.4e-13,42.8,0.7,8e-08,24.7,0.2
NP_417071.1,Helicase_C,PF00271,5.9e-34,109.4,0.1,2.1e-31,101.2,0.1
NP_417083.1,AAA,PF00004,3.4e-29,94.7,0.0,2e-15,50.1,0.0
NP_417085.1,S4,PF01479,4.2e-16,51.2,0.0,7.3e-16,50.5,0.0
NP_417101.1,SRP54,PF00448,1.3e-78,255.8,0.4,2e-78,255.2,0.4
NP_417101.1,SRP_SPB,PF02978,1.4e-50,163.6,18.9,3.9e-50,162.2,18.9
NP_417101.1,SRP54_N,PF02881,1e-25,82.5,0.5,1e-25,82.5,0.5
NP_417116.1,Helicase_C,PF00271,4.2e-08,26.2,0.1,1.8e-07,24.2,0.0
NP_417163.1,ABC_tran,PF00005,3.5e-38,124.0,0.0,6.8e-38,123.1,0.0
NP_417163.1,CBS,PF00571,1.5e-11,37.2,0.0,1.7e-08,27.4,0.0
NP_417177.1,tRNA-synt_2c,PF01411,2.2e-244,804.7,0.0,3.6e-244,804.0,0.0
NP_417177.1,DHHA1,PF02272,5.6e-26,83.7,1.1,2.2e-25,81.9,1.1
NP_417177.1,tRNA_SAD,PF07973,1.1e-19,62.9,1.1,2.5e-19,61.8,0.1
NP_417188.4,CBS,PF00571,5.3e-15,48.3,0.1,7.2e-08,25.5,0.0
NP_417189.2,AAA,PF00004,1e-07,25.2,0.0,2.3e-07,24.0,0.0
NP_417191.1,Pyr_redox_2,PF07992,4e-57,186.5,0.0,5e-57,186.1,0.0
NP_417191.1,Pyr_redox,PF00070,1.7e-20,66.1,0.1,3.2e-19,62.0,0.0
NP_417192.1,Sua5_yciO_yrdC,PF01300,1.9e-43,140.7,0.0,3.2e-43,139.9,0.0
NP_417211.1,AAA,PF00004,1.4e-07,24.7,0.0,3.7e-07,23.4,0.0
NP_417223.1,RrnaAD,PF00398,3.1e-09,29.0,0.0,4.1e-09,28.6,0.0
NP_417231.1,GTP_EFTU,PF00009,8e-48,155.2,0.0,1.1e-47,154.7,0.0
NP_417231.1,MMR_HSR1,PF01926,2.7e-09,29.9,0.0,8.8e-07,21.8,0.0
NP_417241.1,Helicase_C,PF00271,1.2e-08,28.0,0.2,2.9e-08,26.7,0.2
NP_417246.4,Pyr_redox_2,PF07992,6.3e-11,34.8,0.2,1.5e-09,30.3,0.2
NP_417260.1,GATase,PF00117,3.9e-46,149.8,0.0,7.8e-46,148.8,0.0
NP_417265.1,RrnaAD,PF00398,6.2e-09,28.0,0.0,1e-08,27.3,0.0
NP_417266.1,HATPase_c,PF02518,1.1e-32,105.5,0.3,2e-32,104.7,0.3
NP_417290.1,Aminotran_5,PF00266,7.5e-148,485.0,0.0,8.4e-148,484.9,0.0
NP_417295.1,AA_kinase,PF00696,3.2e-40,130.9,0.4,4.7e-40,130.4,0.4
NP_417350.1,AA_kinase,PF00696,5.9e-29,94.1,1.7,1.4e-28,92.9,1.7
NP_417354.1,Pyr_redox_2,PF07992,1.3e-44,145.4,0.0,2e-44,144.8,0.0
NP_417354.1,Pyr_redox,PF00070,4.2e-11,36.0,0.2,1.8e-05,17.9,0.2
NP_417363.2,Pyr_redox_2,PF07992,6.3e-29,93.9,0.0,6.3e-23,74.2,0.0
NP_417363.2,Pyr_redox,PF00070,2.9e-14,46.1,0.3,3.7e-08,26.6,0.1
NP_417366.1,tRNA-synt_2,PF00152,6.4e-98,320.2,0.6,8e-98,319.9,0.6
NP_417366.1,tRNA_anti-codon,PF01336,4.1e-19,61.1,0.0,7.3e-19,60.3,0.0
NP_417366.1,tRNA-synt_2d,PF01409,5.1e-07,22.0,1.0,0.0021,10.2,0.1
NP_417368.1,DHHA1,PF02272,1.3e-22,72.9,0.0,2.6e-22,72.0,0.0
NP_417384.1,Peptidase_M24,PF00557,4.6e-70,228.3,0.3,6.2e-70,227.8,0.3
NP_417498.1,HATPase_c,PF02518,7e-24,77.2,0.0,2e-23,75.7,0.0
NP_417502.1,HATPase_c,PF02518,1.3e-16,53.8,0.1,2.5e-16,52.9,0.1
NP_417502.1,Toprim,PF01751,7.3e-15,47.7,0.0,1.4e-14,46.8,0.0
NP_417536.1,TsaD,PF00814,5.4e-103,336.9,0.0,6.1e-103,336.7,0.0
NP_417538.1,Toprim_4,PF13662,3.8e-18,58.3,0.0,8.7e-18,57.1,0.0
NP_417538.1,Toprim,PF01751,6.7e-18,57.5,0.0,1.3e-17,56.6,0.0
NP_417545.1,tRNA_bind,PF01588,7.4e-36,114.9,0.5,8.4e-36,114.8,0.5
NP_417552.1,Pyr_redox_2,PF07992,7.2e-28,90.4,0.1,1.2e-27,89.7,0.1
NP_417552.1,Pyr_redox,PF00070,4.9e-10,32.6,1.1,2.2e-06,20.9,0.1
NP_417631.2,Helicase_C,PF00271,8.9e-35,112.0,0.0,2.6e-32,104.1,0.1
NP_417633.4,S1,PF00575,2.8e-26,84.5,3.5,2.8e-26,84.5,3.5
NP_417634.1,Ribosomal_S15,PF00312,8e-41,130.9,1.3,9.1e-41,130.7,1.3
NP_417637.1,IF-2,PF11987,8.4e-46,147.4,3.5,4.4e-45,145.1,3.5
NP_417637.1,GTP_EFTU,PF00009,8.8e-42,135.5,1.4,9e-40,128.9,1.4
NP_417637.1,GTP_EFTU_D2,PF03144,7.1e-15,48.0,9.1,4.2e-12,39.1,1.3
NP_417637.1,MMR_HSR1,PF01926,3.4e-13,42.5,0.1,1.3e-12,40.6,0.1
NP_417638.1,S1,PF00575,1.2e-07,24.8,0.1,6.1e-07,22.5,0.1
NP_417645.1,AAA,PF00004,3.5e-50,162.6,0.0,9.4e-50,161.2,0.0
NP_417650.1,MMR_HSR1,PF01926,3.1e-27,87.7,0.0,5.2e-27,87.0,0.0
NP_417662.1,ABC_tran,PF00005,6.7e-33,106.9,0.0,8.6e-33,106.5,0.0
NP_417664.1,CBS,PF00571,1.2e-16,53.6,6.7,3.3e-09,29.7,0.4
NP_417668.1,ABC_tran,PF00005,1.9e-38,124.9,0.0,2.8e-38,124.3,0.0
NP_417680.1,Pyr_redox_2,PF07992,2e-28,92.3,4.7,1.3e-27,89.6,4.6
NP_417680.1,Pyr_redox,PF00070,3.4e-16,52.3,5.2,5.3e-09,29.3,0.4
NP_417697.1,Ribosomal_S9,PF00380,3e-53,172.2,2.0,3.4e-53,172.0,2.0
