protein,num_pfams,pfam_accession,pfam_name
NP_417009.1,3,PF13393,tRNA-synt_His
NP_417037.1,2,PF00070,Pyr_redox
NP_417037.1,2,PF07992,Pyr_redox_2
NP_417061.1,3,PF00009,GTP_EFTU
NP_417061.1,3,PF01926,MMR_HSR1
NP_417061.1,3,PF07650,KH_2
NP_417064.1,3,PF00009,GTP_EFTU
NP_417064.1,3,PF00679,EFG_C
NP_417064.1,3,PF03144,GTP_EFTU_D2
NP_417101.1,3,PF00448,SRP54
NP_417101.1,3,PF02881,SRP54_N
NP_417101.1,3,PF02978,SRP_SPB
NP_417163.1,2,PF00005,ABC_tran
NP_417163.1,2,PF00571,CBS
NP_417177.1,3,PF01411,tRNA-synt_2c
NP_417177.1,3,PF02272,DHHA1
NP_417177.1,3,PF07973,tRNA_SAD
NP_417191.1,2,PF00070,Pyr_redox
NP_417191.1,2,PF07992,Pyr_redox_2
NP_417231.1,2,PF00009,GTP_EFTU
NP_417231.1,2,PF01926,MMR_HSR1
NP_417354.1,2,PF00070,Pyr_redox
NP_417354.1,2,PF07992,Pyr_redox_2
NP_417363.2,2,PF00070,Pyr_redox
NP_417363.2,2,PF07992,Pyr_redox_2
NP_417366.1,3,PF00152,tRNA-synt_2
NP_417366.1,3,PF01336,tRNA_anti-codon
NP_417366.1,3,PF01409,tRNA-synt_2d
NP_417502.1,2,PF01751,Toprim
NP_417502.1,2,PF02518,HATPase_c
NP_417538.1,2,PF01751,Toprim
NP_417538.1,2,PF13662,Toprim_4
NP_417552.1,2,PF00070,Pyr_redox
NP_417552.1,2,PF07992,Pyr_redox_2
NP_417637.1,4,PF00009,GTP_EFTU
NP_417637.1,4,PF01926,MMR_HSR1
NP_417637.1,4,PF03144,GTP_EFTU_D2
NP_417637.1,4,PF11987,IF-2
NP_417680.1,2,PF00070,Pyr_redox
NP_417680.1,2,PF07992,Pyr_redox_2
NP_417754.1,2,PF01000,RNA_pol_A_bac
NP_417754.1,2,PF01193,RNA_pol_L
NP_417762.1,2,PF00333,Ribosomal_S5
NP_417762.1,2,PF03719,Ribosomal_S5_C
NP_417767.1,2,PF00281,Ribosomal_L5
NP_417767.1,2,PF00673,Ribosomal_L5_C
NP_417773.1,2,PF00189,Ribosomal_S3_C
NP_417773.1,2,PF07650,KH_2
NP_417776.1,2,PF00181,Ribosomal_L2_N
NP_417776.1,2,PF03947,Ribosomal_L2_C
NP_417798.1,3,PF00009,GTP_EFTU
NP_417798.1,3,PF03143,GTP_EFTU_D3
NP_417798.1,3,PF03144,GTP_EFTU_D2
NP_417799.1,4,PF00009,GTP_EFTU
NP_417799.1,4,PF00679,EFG_C
NP_417799.1,4,PF03144,GTP_EFTU_D2
NP_417799.1,4,PF03764,EFG_IV
NP_417811.1,2,PF00005,ABC_tran
NP_417811.1,2,PF01926,MMR_HSR1
NP_417824.1,2,PF00070,Pyr_redox
NP_417824.1,2,PF07992,Pyr_redox_2
NP_417868.1,2,PF00009,GTP_EFTU
NP_417868.1,2,PF01926,MMR_HSR1
NP_417921.1,2,PF00448,SRP54
NP_417921.1,2,PF02881,SRP54_N
NP_417957.1,2,PF00070,Pyr_redox
NP_417957.1,2,PF07992,Pyr_redox_2
NP_418047.1,3,PF00009,GTP_EFTU
NP_418047.1,3,PF01926,MMR_HSR1
NP_418047.1,3,PF03144,GTP_EFTU_D2
NP_418109.1,2,PF00271,Helicase_C
NP_418109.1,2,PF01336,tRNA_anti-codon
NP_418188.1,2,PF00006,ATP-synt_ab
NP_418188.1,2,PF02874,ATP-synt_ab_N
NP_418190.1,3,PF00006,ATP-synt_ab
NP_418190.1,3,PF00306,ATP-synt_ab_C
NP_418190.1,3,PF02874,ATP-synt_ab_N
NP_418397.2,2,PF00070,Pyr_redox
NP_418397.2,2,PF07992,Pyr_redox_2
NP_418407.1,3,PF00009,GTP_EFTU
NP_418407.1,3,PF03143,GTP_EFTU_D3
NP_418407.1,3,PF03144,GTP_EFTU_D2
NP_418410.1,2,PF00298,Ribosomal_L11
NP_418410.1,2,PF03946,Ribosomal_L11_N
NP_418414.1,4,PF00562,RNA_pol_Rpb2_6
NP_418414.1,4,PF04560,RNA_pol_Rpb2_7
NP_418414.1,4,PF04563,RNA_pol_Rpb2_1
NP_418414.1,4,PF04565,RNA_pol_Rpb2_3
NP_418415.1,4,PF00623,RNA_pol_Rpb1_2
NP_418415.1,4,PF04983,RNA_pol_Rpb1_3
NP_418415.1,4,PF04997,RNA_pol_Rpb1_1
NP_418415.1,4,PF04998,RNA_pol_Rpb1_5
NP_418553.1,3,PF00152,tRNA-synt_2
NP_418553.1,3,PF01336,tRNA_anti-codon
NP_418553.1,3,PF01409,tRNA-synt_2d
NP_418679.1,3,PF00133,tRNA-synt_1
NP_418679.1,3,PF08264,Anticodon_1
NP_418679.1,3,PF09334,tRNA-synt_1g
NP_418792.1,3,PF00009,GTP_EFTU
NP_418792.1,3,PF01926,MMR_HSR1
NP_418792.1,3,PF03144,GTP_EFTU_D2
NP_418808.1,2,PF00005,ABC_tran
NP_418808.1,2,PF01926,MMR_HSR1
YP_010283915.1,4,PF00009,GTP_EFTU
YP_010283915.1,4,PF01926,MMR_HSR1
YP_010283915.1,4,PF03144,GTP_EFTU_D2
YP_010283915.1,4,PF11987,IF-2
YP_010283916.1,4,PF00009,GTP_EFTU
YP_010283916.1,4,PF01926,MMR_HSR1
YP_010283916.1,4,PF03144,GTP_EFTU_D2
YP_010283916.1,4,PF11987,IF-2
YP_026241.1,2,PF01751,Toprim
YP_026241.1,2,PF02518,HATPase_c
YP_026274.1,4,PF00009,GTP_EFTU
YP_026274.1,4,PF00679,EFG_C
YP_026274.1,4,PF01926,MMR_HSR1
YP_026274.1,4,PF03144,GTP_EFTU_D2
