protein,pfam_name,pfam_accession,full_seq_evalue,full_seq_score,full_seq_bias,best_domain_evalue,best_domain_score,best_domain_bias
NP_417769.1,Ribosomal_L14,PF00238,1.3e-57,185.9,0.5,1.4e-57,185.8,0.5
NP_417770.1,Ribosomal_S17,PF00366,1.6e-37,120.5,1.2,1.9e-37,120.2,1.2
NP_417771.1,Ribosomal_L29,PF00831,1.6e-25,81.9,7.6,1.7e-25,81.8,7.6
NP_417772.1,Ribosomal_L16,PF00252,2.5e-53,172.5,1.6,2.8e-53,172.4,1.6
NP_417773.1,Ribosomal_S3_C,PF00189,5.5e-43,138.4,1.0,1e-42,137.6,1.0
NP_417774.1,Ribosomal_L22,PF00237,5.9e-44,141.5,2.8,6.6e-44,141.4,2.8
NP_417775.1,Ribosomal_S19,PF00203,1.3e-40,130.1,0.1,1.5e-40,129.9,0.1
NP_417776.1,Ribosomal_L2_N,PF00181,1.4e-39,127.1,0.4,8.5e-39,124.6,0.2
NP_417777.1,Ribosomal_L23,PF00276,6.7e-35,112.4,4.8,7.6e-35,112.2,4.8
NP_417778.1,Ribosomal_L4,PF00573,4.5e-74,241.2,1.1,5e-74,241.0,1.1
NP_417779.1,Ribosomal_L3,PF00297,3e-16,52.3,8.3,6.7e-16,51.1,6.6
NP_417780.1,Ribosomal_S10,PF00338,1e-37,121.4,0.1,1.1e-37,121.2,0.1
NP_417800.1,Ribosomal_S7,PF00177,1.4e-65,212.4,2.4,1.6e-65,212.2,2.4
NP_417801.1,Ribosom_S12_S23,PF00164,2.7e-44,142.4,0.4,3.2e-44,142.2,0.4
NP_417879.1,RtcB,PF01139,2.2e-136,448.3,0.1,3e-136,447.9,0.1
NP_418094.1,Ribosomal_L28,PF00830,5e-29,93.1,2.1,5.8e-29,92.9,2.1
NP_418106.1,RNA_pol_Rpb6,PF01192,2.7e-21,68.4,0.1,4.7e-21,67.6,0.1
NP_418159.1,Ribonuclease_P,PF00825,1.7e-35,114.4,0.3,1.9e-35,114.2,0.3
NP_418189.1,ATP-synt,PF00231,6.5e-109,356.9,0.0,7.2e-109,356.8,0.0
NP_418191.1,OSCP,PF00213,2.1e-50,164.1,1.0,2.3e-50,164.0,1.0
NP_418194.1,ATP-synt_A,PF00119,3.7e-59,193.1,21.4,4.5e-59,192.8,21.4
NP_418354.1,TIM,PF00121,8.1e-99,323.0,3.4,9.2e-99,322.8,3.4
NP_418408.1,SecE,PF00584,3.7e-22,71.0,1.5,3.7e-22,71.0,1.5
NP_418411.1,Ribosomal_L1,PF00687,2.5e-69,225.8,1.1,3e-69,225.5,1.1
NP_418434.1,AICARFT_IMPCHas,PF01808,8.2e-131,428.9,3.5,1e-130,428.6,3.5
NP_418589.1,TsaE,PF02367,2.6e-44,143.2,0.0,3e-44,143.0,0.0
NP_418592.1,IPPT,PF01715,4.5e-94,307.5,0.0,5.3e-94,307.3,0.0
NP_418598.1,Adenylsucc_synt,PF00709,8.8e-187,613.8,0.0,1e-186,613.5,0.0
NP_418621.5,Ribosomal_S6,PF01250,2.4e-34,110.4,0.1,3.2e-34,110.0,0.1
NP_418624.1,Ribosomal_L9_C,PF03948,3.8e-28,90.8,1.7,6.2e-28,90.1,1.7
NP_418665.1,PyrI,PF01948,1.2e-33,108.1,0.0,1.7e-33,107.7,0.0
