protein,num_DUFs
YP_009518808.1,1
YP_009518809.1,1
YP_026189.1,1
YP_026195.1,1
YP_026196.1,1
YP_026288.1,1
YP_588435.1,1
YP_588453.1,1
YP_588454.1,1
YP_588466.1,1
YP_588468.1,1
YP_588478.1,1
YP_588479.2,1
