protein,num_pfams,pfam_accession,pfam_name
NP_414697.1,1,PF00654,Voltage_CLC
NP_414698.1,1,PF01521,Fe-S_biosyn
NP_414699.1,1,PF03458,Gly_transporter
NP_414700.1,1,PF01497,Peripla_BP_2
NP_414701.1,1,PF01048,PNP_UDP_1
NP_414705.1,1,PF11944,DUF3461
NP_414706.2,1,PF00149,Metallophos
NP_414710.1,1,PF00557,Peptidase_M24
NP_414711.1,1,PF00318,Ribosomal_S2
NP_414712.1,1,PF00889,EF_TS
NP_414713.1,1,PF00696,AA_kinase
NP_414714.1,1,PF01765,RRF
NP_414716.1,1,PF01255,Prenyltransf
NP_414717.2,1,PF01148,CTP_transf_1
NP_414720.1,1,PF03938,OmpH
NP_414724.1,1,PF02684,LpxB
NP_414725.1,1,PF01351,RNase_HII
NP_414731.2,1,PF07073,ROF
NP_414732.1,1,PF07152,YaeQ
NP_414733.1,1,PF00472,RF-1
NP_414738.1,1,PF16358,RcsF
NP_414740.1,1,PF00528,BPD_transp_1
NP_414743.1,1,PF00248,Aldo_ket_red
NP_414745.1,1,PF03372,Exo_endo_phos
NP_414749.2,1,PF08241,Methyltransf_11
NP_414750.1,1,PF00075,RNase_H
NP_414751.1,1,PF00929,RNase_T
NP_414752.1,1,PF25851,YafT
NP_414754.1,1,PF00795,CN_hydrolase
NP_414755.1,1,PF08816,Ivy
NP_414758.1,1,PF13230,GATase_4
NP_414759.1,1,PF03734,YkuD
NP_414760.1,1,PF15738,YafQ_toxin
NP_414761.1,1,PF04221,RelB
NP_414762.1,1,PF00877,NLPC_P60
NP_414767.1,1,PF02604,PhdYeFM_antitox
NP_414768.1,1,PF13957,YafO_toxin
NP_414773.1,1,PF00156,Pribosyltran
NP_414774.1,1,PF06500,FrsA-like
NP_414778.1,1,PF00171,Aldedh
NP_414779.1,1,PF06755,CbtA_toxin
NP_414780.1,1,PF06154,CbeA_antitoxin
NP_414781.1,1,PF04002,RadC
NP_414782.1,1,PF03230,Antirestrict
NP_414783.1,1,PF06006,DUF905
NP_414784.1,1,PF27224,YfjT
NP_414785.4,1,PF20494,YfjS_YafY
NP_414786.4,1,PF06067,DUF932
NP_414795.1,1,PF02574,S-methyl_trans
NP_414798.1,1,PF03400,DDE_Tnp_IS1
NP_414802.2,1,PF00701,DHDPS
NP_414808.1,1,PF03400,DDE_Tnp_IS1
NP_414811.1,1,PF11726,YagK_YfjJ_C
NP_414812.1,1,PF07638,Sigma70_ECF
NP_414813.1,1,PF27701,UCP007319
NP_414819.1,1,PF00941,FAD_binding_5
NP_414821.1,1,PF07274,DUF1440
NP_414822.1,1,PF03692,CxxCxxCC
NP_414824.1,1,PF27328,EcpD_C
NP_414826.1,1,PF18649,EcpB_C
NP_414827.1,1,PF16449,MatB
NP_414830.1,1,PF01197,Ribosomal_L31
NP_414832.2,1,PF01527,HTH_Tnp_1
NP_414835.2,1,PF04224,DUF417
NP_414837.2,1,PF07338,YdgH_BhsA-like
NP_414840.1,1,PF02754,CCG
NP_414842.4,1,PF02589,LUD_dom
NP_414846.1,1,PF00171,Aldedh
NP_414848.1,1,PF02028,BCCT
NP_414851.1,1,PF06496,DUF1097
NP_414853.1,1,PF11392,AllH
NP_414855.1,1,PF06545,AllG
NP_414857.1,1,PF00696,AA_kinase
NP_414862.1,1,PF01810,LysE
NP_414863.1,1,PF07338,YdgH_BhsA-like
NP_414867.1,1,PF00285,Citrate_synt
NP_414870.1,1,PF02133,Transp_cyt_pur
NP_414873.1,1,PF00484,Pro_CA
NP_414882.1,1,PF02900,LigB
NP_414884.2,1,PF01557,FAA_hydrolase
NP_414888.4,1,PF09831,DUF2058
NP_414889.1,1,PF00756,Esterase
NP_414891.4,1,PF02583,Trns_repr_metal
NP_414892.1,1,PF19413,YaiO
NP_414894.2,1,PF01527,HTH_Tnp_1
NP_414898.4,1,PF02585,PIG-L
NP_414901.1,1,PF00528,BPD_transp_1
NP_414902.1,1,PF02668,TauD
NP_414903.4,1,PF00490,ALAD
NP_414907.2,1,PF01527,HTH_Tnp_1
NP_414909.2,1,PF15977,HTH_46
NP_414910.1,1,PF00144,Beta-lactamase
NP_414912.1,1,PF07759,DUF1615
NP_414913.1,1,PF10954,DUF2755
NP_414914.2,1,PF10953,DUF2754
NP_414916.1,1,PF10796,Anti-adapt_IraP
NP_414918.4,1,PF07769,PsiF_repeat
NP_414921.2,1,PF02639,DUF188
NP_414923.1,1,PF16362,YaiA
NP_414924.1,1,PF07302,AroM
NP_414925.1,1,PF06865,Ppnp
NP_414927.1,1,PF04381,RdgC
NP_414935.1,1,PF05525,Branch_AA_trans
NP_414938.1,1,PF04336,ACP_PD
NP_414939.1,1,PF02547,Queuosine_synth
NP_414940.1,1,PF01702,TGT
NP_414941.1,1,PF02699,YajC
NP_414944.1,1,PF01844,HNH
NP_414945.1,1,PF03502,Channel_Tsx
NP_414946.4,1,PF11622,DUF3251
NP_414949.1,1,PF00885,DMRL_synthase
NP_414950.1,1,PF01029,NusB
NP_414952.1,1,PF04608,PgpA
NP_414953.2,1,PF00248,Aldo_ket_red
NP_414955.1,1,PF00348,polyprenyl_synt
NP_414956.1,1,PF02609,Exonuc_VII_S
NP_414958.4,1,PF01965,DJ-1_PfpI
NP_414960.2,1,PF04461,YajQ
NP_414962.1,1,PF01040,UbiA
NP_414963.1,1,PF03626,COX4_pro
NP_414964.1,1,PF00510,COX3
NP_414965.1,1,PF00115,COX1
NP_414969.4,1,PF01722,BolA
NP_414971.1,1,PF00574,CLP_protease
NP_414984.1,1,PF00543,P-II
NP_414985.1,1,PF00909,Ammonium_transp
NP_414987.3,1,PF09619,YscW
NP_414988.1,1,PF01035,DNA_binding_1
NP_414989.1,1,PF07237,DUF1428
NP_414991.4,1,PF10777,YlaC
NP_414993.1,1,PF05321,HHA
NP_414994.1,1,PF10757,YbaJ
NP_414999.1,1,PF10689,DUF2496
NP_415000.1,1,PF07445,PriC
NP_415001.1,1,PF04304,DUF454
NP_415002.1,1,PF00156,Pribosyltran
NP_415004.1,1,PF02575,YbaB_DNA_bd
NP_415010.1,1,PF00294,PfkB
NP_415012.1,1,PF07690,MFS_1
NP_415014.1,1,PF04073,tRNA_edit
NP_415015.1,1,PF01963,TraB_PrgY_gumN
NP_415016.4,1,PF01381,HTH_3
NP_415018.1,1,PF04960,Glutaminase
NP_415021.2,1,PF01957,NfeD
NP_415022.1,1,PF01145,Band_7
NP_415024.4,1,PF03649,UPF0014
NP_415028.1,1,PF00005,ABC_tran
NP_415029.1,1,PF02687,FtsX
NP_415031.1,1,PF15631,Imm-NTF2-2
NP_415038.1,1,PF04115,Ureidogly_lyase
NP_415041.1,1,PF01261,AP_endonuc_2
NP_415044.4,1,PF02133,Transp_cyt_pur
NP_415046.4,1,PF00860,Xan_ur_permease
NP_415047.1,1,PF02595,Gly_kinase
NP_415050.1,1,PF02615,Ldh_2
NP_415053.1,1,PF11392,AllH
NP_415054.1,1,PF00696,AA_kinase
NP_415056.1,1,PF00731,AIRC
NP_415058.1,1,PF00160,Pro_isomerase
NP_415060.1,1,PF04307,YdjM
NP_415061.2,1,PF13275,S4_2
NP_415063.4,1,PF00419,Fimbrial
NP_415066.2,1,PF00419,Fimbrial
NP_415067.1,1,PF00419,Fimbrial
NP_415069.1,1,PF00589,Phage_integrase
NP_415072.2,1,PF01527,HTH_Tnp_1
NP_415075.1,1,PF00893,Multi_Drug_Res
NP_415077.1,1,PF01161,PBP
NP_415080.1,1,PF05322,NinE
NP_415081.1,1,PF07102,YbcO
NP_415082.1,1,PF05866,RusA
NP_415083.1,1,PF06530,Phage_antitermQ
NP_415086.1,1,PF04971,Phage_holin_2_1
NP_415087.1,1,PF00959,Phage_lysozyme
NP_415088.1,1,PF03245,Phage_lysis
NP_415089.1,1,PF06291,Lambda_Bor
NP_415090.2,1,PF07166,DUF1398
NP_415092.1,1,PF07471,Phage_Nu1
NP_415097.1,1,PF01278,Omptin
NP_415099.1,1,PF14488,DUF4434
NP_415104.1,1,PF02321,OEP
NP_415105.1,1,PF11604,CusF_Ec
NP_415107.1,1,PF00873,ACR_tran
NP_415110.1,1,PF00881,Nitroreductase
NP_415111.1,1,PF04237,YjbR
NP_415112.1,1,PF06643,DUF1158
NP_415113.1,1,PF04107,GCS2
NP_415114.1,1,PF01609,DDE_Tnp_1
NP_415119.1,1,PF02706,Wzz
NP_415121.1,1,PF01032,FecCD
NP_415122.1,1,PF01032,FecCD
NP_415124.1,1,PF01497,Peripla_BP_2
NP_415125.1,1,PF00425,Chorismate_bind
NP_415129.1,1,PF03061,4HBT
NP_415130.1,1,PF02554,CstA
NP_415134.1,1,PF02195,ParB_N
NP_415140.1,1,PF00582,Usp
NP_415144.1,1,PF00445,Ribonuclease_T2
NP_415146.1,1,PF01874,CitG
NP_415147.1,1,PF03802,CitX
NP_415148.1,1,PF04223,CitF
NP_415150.1,1,PF06857,ACP
NP_415151.4,1,PF08218,Citrate_ly_lig
NP_415155.1,1,PF07017,PagP
NP_415157.1,1,PF02537,CRCB
NP_415160.1,1,PF02416,TatA_B_E
NP_415163.2,1,PF21948,LplA-B_cat
NP_415164.1,1,PF04359,DUF493
NP_415167.1,1,PF01098,FTSW_RODA_SPOVE
NP_415169.1,1,PF02590,SPOUT_MTase
NP_415170.4,1,PF02410,RsfS
NP_415171.1,1,PF00300,His_Phos_1
NP_415172.1,1,PF01467,CTP_transf_like
NP_415174.1,1,PF04390,LptE
NP_415176.1,1,PF07295,DUF1451
NP_415178.1,1,PF06889,DUF1266
NP_415179.1,1,PF27158,DjlB_C_2nd
NP_415180.1,1,PF08238,Sel1
NP_415181.1,1,PF06889,DUF1266
NP_415182.1,1,PF27158,DjlB_C_2nd
NP_415184.1,1,PF01156,IU_nuc_hydro
NP_415186.1,1,PF00528,BPD_transp_1
NP_415187.1,1,PF00528,BPD_transp_1
NP_415188.1,1,PF00497,SBP_bac_3
NP_415192.1,1,PF02130,YbeY
NP_415204.1,1,PF01182,Glucosamine_iso
NP_415207.1,1,PF03573,OprD
NP_415208.1,1,PF13982,YbfN
NP_415209.1,1,PF01475,FUR
NP_415224.1,1,PF02669,KdpC
NP_415226.1,1,PF03814,KdpA
NP_415228.1,1,PF10725,DUF2517
NP_415235.1,1,PF08349,DUF1722
NP_415238.1,1,PF01784,DUF34_NIF3
NP_415239.1,1,PF02682,CT_C_D
NP_415240.1,1,PF02626,CT_A_B
NP_415241.1,1,PF03746,LamB_YcsF
NP_415243.4,1,PF05145,AbrB
NP_415247.1,1,PF00419,Fimbrial
NP_415248.1,1,PF00285,Citrate_synt
NP_415249.1,1,PF01127,Sdh_cyt
NP_415250.1,1,PF01127,Sdh_cyt
NP_415261.2,1,PF01654,Cyt_bd_oxida_I
NP_415262.1,1,PF02322,Cyt_bd_oxida_II
NP_415263.1,1,PF09600,Cyd_oper_YbgE
NP_415265.1,1,PF01618,MotA_ExbB
NP_415266.1,1,PF02472,ExbD
NP_415267.1,1,PF06519,TolA
NP_415269.1,1,PF00691,OmpA
NP_415271.1,1,PF02445,NadA
NP_415272.1,1,PF04973,NMN_transporter
NP_415274.1,1,PF13985,YbgS
NP_415275.1,1,PF00793,DAHP_synth_1
NP_415276.1,1,PF00300,His_Phos_1
NP_415277.1,1,PF01263,Aldose_epim
NP_415282.1,1,PF03459,TOBE
NP_415283.1,1,PF10766,AcrZ
NP_415285.1,1,PF00528,BPD_transp_1
NP_415290.1,1,PF04303,PrpF
NP_415293.1,1,PF01095,Pectinesterase
NP_415294.1,1,PF01161,PBP
NP_415295.1,1,PF00202,Aminotran_3
NP_415297.1,1,PF00155,Aminotran_1_2
NP_415301.1,1,PF01933,CofD
NP_415303.1,1,PF00994,MoCF_biosynth
NP_415304.1,1,PF01967,MoaC
NP_415305.1,1,PF02597,ThiS
NP_415306.1,1,PF02391,MoaE
NP_415307.1,1,PF01027,Bax1-I
NP_415309.1,1,PF03706,LPG_synthase_TM
NP_415311.1,1,PF03372,Exo_endo_phos
NP_415312.1,1,PF11076,YbhQ
NP_415319.1,1,PF08719,NADAR
NP_415321.1,1,PF02885,Glycos_trans_3N
NP_415322.1,1,PF02615,Ldh_2
NP_415323.1,1,PF07338,YdgH_BhsA-like
NP_415324.1,1,PF01258,zf-dskA_traR
NP_415327.2,1,PF07338,YdgH_BhsA-like
NP_415328.4,1,PF05971,Methyltransf_10
NP_415331.1,1,PF00528,BPD_transp_1
NP_415333.1,1,PF00210,Ferritin
NP_415334.1,1,PF00892,EamA
NP_415336.1,1,PF00884,Sulfatase
NP_415342.1,1,PF07350,Gig2-like
NP_415346.4,1,PF00923,TAL_FSA
NP_415347.1,1,PF00899,ThiF
NP_415349.1,1,PF01112,Asparaginase_2
NP_415351.1,1,PF00496,SBP_bac_5
NP_415357.1,1,PF10799,YliH
NP_415358.1,1,PF07995,GSDH
NP_415362.1,1,PF01569,PAP2
NP_415366.1,1,PF07690,MFS_1
NP_415369.1,1,PF11045,YbjM
NP_415370.1,1,PF00462,Glutaredoxin
NP_415371.1,1,PF07214,DUF1418
NP_415374.1,1,PF10722,YbjN
NP_415377.1,1,PF00528,BPD_transp_1
NP_415378.1,1,PF00528,BPD_transp_1
NP_415379.1,1,PF10767,YbjO_DH-like
NP_415381.1,1,PF00497,SBP_bac_3
NP_415382.1,1,PF00528,BPD_transp_1
NP_415383.1,1,PF00528,BPD_transp_1
NP_415384.1,1,PF00497,SBP_bac_3
NP_415386.1,1,PF12883,DUF3828
NP_415387.1,1,PF01906,YbjQ_1
NP_415388.1,1,PF01510,Amidase_2
NP_415394.4,1,PF03063,Prismane
NP_415395.2,1,PF03956,Lys_export
NP_415396.1,1,PF00230,MIP
NP_415398.1,1,PF04393,DUF535
NP_415401.1,1,PF00313,CSD
NP_415402.1,1,PF02617,ClpS
NP_415404.1,1,PF01176,eIF-1a
NP_415405.1,1,PF03588,Leu_Phe_trans
NP_415411.2,1,PF03548,LolA
NP_415416.1,1,PF04976,DmsC
NP_415417.1,1,PF00857,Isochorismatase
NP_415424.1,1,PF01226,Form_Nir_trans
NP_415426.1,1,PF04239,DUF421
NP_415427.1,1,PF00266,Aminotran_5
NP_415428.1,1,PF00275,EPSP_synthase
NP_415429.2,1,PF01435,Peptidase_M48
NP_415435.1,1,PF02606,LpxK
NP_415436.1,1,PF06224,AlkZ-like
NP_415437.1,1,PF03966,Trm112p
NP_415439.1,1,PF01636,APH
NP_415440.1,1,PF02698,DUF218
NP_415447.1,1,PF00753,Lactamase_B
NP_415448.1,1,PF00155,Aminotran_1_2
NP_415453.1,1,PF00005,ABC_tran
NP_415454.4,1,PF00528,BPD_transp_1
NP_415455.1,1,PF00296,Bac_luciferase
NP_415458.2,1,PF00419,Fimbrial
NP_415461.1,1,PF00419,Fimbrial
NP_415462.1,1,PF00419,Fimbrial
NP_415463.2,1,PF00419,Fimbrial
NP_415465.1,1,PF01180,DHO_dh
NP_415470.1,1,PF04403,PqiA
NP_415471.1,1,PF02470,MlaD
NP_415472.2,1,PF03886,ABC_trans_aux
NP_415473.1,1,PF04957,RMF
NP_415478.1,1,PF03846,SulA
NP_415481.1,1,PF03733,YccF
NP_415483.2,1,PF02142,MGS
NP_415484.1,1,PF09829,DUF2057
NP_415486.4,1,PF08755,YccV-like
NP_415488.1,1,PF00708,Acylphosphatase
NP_415489.4,1,PF04358,DsrC
NP_415490.1,1,PF01027,Bax1-I
NP_415493.1,1,PF01292,Ni_hydr_CYTB
NP_415494.1,1,PF01750,HycI
NP_415495.1,1,PF07449,HyaE
NP_415496.1,1,PF04809,HupH_C
NP_415497.1,1,PF01654,Cyt_bd_oxida_I
NP_415498.1,1,PF02322,Cyt_bd_oxida_II
NP_415500.1,1,PF00328,His_Phos_2
NP_415502.4,1,PF01451,LMWPc
NP_415504.1,1,PF06082,YjbH
NP_415506.1,1,PF11102,YjbF
NP_415508.1,1,PF03400,DDE_Tnp_IS1
NP_415509.1,1,PF00313,CSD
NP_415511.1,1,PF15939,YmcE_antitoxin
NP_415518.1,1,PF02613,Nitrate_red_del
NP_415519.1,1,PF13591,MerR_2
NP_415522.1,1,PF00328,His_Phos_2
NP_415523.1,1,PF13993,YccJ
NP_415525.2,1,PF10685,KGG
NP_415526.4,1,PF00860,Xan_ur_permease
NP_415527.4,1,PF01613,Flavin_Reduct
NP_415528.1,1,PF00881,Nitroreductase
NP_415530.1,1,PF01042,Ribonuc_L-PSP
NP_415531.2,1,PF00857,Isochorismatase
NP_415532.3,1,PF00296,Bac_luciferase
NP_415535.1,1,PF00474,SSF
NP_415540.1,1,PF13994,PgaD
NP_415546.2,1,PF01527,HTH_Tnp_1
NP_415552.1,1,PF02811,PHP
NP_415553.1,1,PF02613,Nitrate_red_del
NP_415554.4,1,PF06496,DUF1097
NP_415555.1,1,PF03783,CsgG
NP_415556.1,1,PF10614,CsgF
NP_415557.1,1,PF10627,CsgE
NP_415559.1,1,PF07012,Curlin_rpt
NP_415560.1,1,PF07012,Curlin_rpt
NP_415561.1,1,PF10610,Tafi-CsgC
NP_415562.1,1,PF27184,YmdA
NP_415563.1,1,PF01661,Macro
NP_415565.1,1,PF01757,Acyl_transf_3
NP_415566.1,1,PF04349,MdoG
NP_415568.1,1,PF07119,DUF1375
NP_415569.4,1,PF13984,MsyB
NP_415572.1,1,PF03279,Lip_A_acyltrans
NP_415574.1,1,PF04264,YceI
NP_415575.1,1,PF01292,Ni_hydr_CYTB
NP_415576.1,1,PF10968,DUF2770
NP_415578.3,1,PF13991,BssS
NP_415579.1,1,PF06183,DinI
NP_415580.1,1,PF01979,Amidohydro_1
NP_415581.1,1,PF07273,DUF1439
NP_415583.4,1,PF07690,MFS_1
NP_415585.1,1,PF04337,DUF480
NP_415587.1,1,PF03023,MurJ
NP_415588.1,1,PF05130,FlgN
NP_415589.1,1,PF04316,FlgM
NP_415591.1,1,PF00460,Flg_bb_rod
NP_415597.1,1,PF02107,FlgH
NP_415598.3,1,PF02119,FlgI
NP_415601.1,1,PF00669,Flagellin_N
NP_415605.2,1,PF02545,Maf
NP_415606.1,1,PF02620,YceD
NP_415607.1,1,PF01783,Ribosomal_L32p
NP_415608.2,1,PF02504,FA_synthesis
NP_415610.1,1,PF00698,Acyl_transf_1
NP_415612.1,1,PF00550,PP-binding
NP_415614.1,1,PF01063,Aminotran_4
NP_415615.1,1,PF02618,YceG
NP_415616.1,1,PF02223,Thymidylate_kin
NP_415618.1,1,PF01026,TatD_DNase
NP_415622.1,1,PF07233,DUF1425
NP_415623.1,1,PF13036,LpoB
NP_415624.1,1,PF01636,APH
NP_415625.1,1,PF00933,Glyco_hydro_3
NP_415626.4,1,PF05728,UPF0227
NP_415628.1,1,PF05433,Rick_17kDa_Anti
NP_415630.1,1,PF07338,YdgH_BhsA-like
NP_415633.1,1,PF01757,Acyl_transf_3
NP_415638.3,1,PF02146,SIR2
NP_415639.1,1,PF04536,TPM_phosphatase
NP_415640.2,1,PF12158,DUF3592
NP_415642.1,1,PF00528,BPD_transp_1
NP_415643.3,1,PF00528,BPD_transp_1
NP_415650.1,1,PF04356,DUF489
NP_415652.1,1,PF00293,NUDIX
NP_415653.4,1,PF00849,PseudoU_synth_2
NP_415654.1,1,PF00180,Iso_dh
NP_415657.1,1,PF10463,Peptidase_U49
NP_415659.1,1,PF07825,Exc
NP_415663.1,1,PF00717,Peptidase_S24
NP_415665.2,1,PF06892,Phage_CP76
NP_415671.1,1,PF10076,Phage_Mu_Gp48
NP_415672.1,1,PF21882,Gp53-like_C
NP_415673.1,1,PF02413,Caudo_TAP
NP_415677.1,1,PF01844,HNH
NP_415678.1,1,PF11183,PmrD
NP_415679.1,1,PF07166,DUF1398
NP_415682.1,1,PF10798,YmgB
NP_415684.1,1,PF10798,YmgB
NP_415689.2,1,PF16456,YmgD
NP_415692.1,1,PF03776,MinE
NP_415695.1,1,PF05666,YcgJ
NP_415696.1,1,PF04151,PPC
NP_415697.5,1,PF05166,YcgL
NP_415698.1,1,PF01557,FAA_hydrolase
NP_415699.5,1,PF03692,CxxCxxCC
NP_415700.4,1,PF06109,HlyE
NP_415701.1,1,PF00717,Peptidase_S24
NP_415703.3,1,PF02600,DsbB
NP_415711.2,1,PF01464,SLT
NP_415713.1,1,PF04226,Transgly_assoc
NP_415717.1,1,PF02734,Dak2
NP_415718.6,1,PF02733,Dak1
NP_415722.1,1,PF01195,Pept_tRNA_hydro
NP_415723.1,1,PF10762,DUF2583
NP_415727.1,1,PF03550,LolB
NP_415731.1,1,PF04247,SirB
NP_415733.1,1,PF00793,DAHP_synth_1
NP_415734.1,1,PF01699,Na_Ca_ex
NP_415735.1,1,PF06150,ChaB
NP_415736.2,1,PF04752,ChaC
NP_415737.1,1,PF02635,DsrE
NP_415738.2,1,PF11924,IAT_beta
NP_415741.1,1,PF07690,MFS_1
NP_415744.1,1,PF02613,Nitrate_red_del
NP_415745.1,1,PF02665,Nitrate_red_gam
NP_415750.2,1,PF01734,Patatin
NP_415751.1,1,PF00072,Response_reg
NP_415752.1,1,PF00483,NTP_transferase
NP_415754.1,1,PF00265,TK
NP_415758.1,1,PF01914,MarC
NP_415759.1,1,PF00496,SBP_bac_5
NP_415764.4,1,PF04269,DUF440
NP_415767.2,1,PF03795,YCII
NP_415769.1,1,PF03061,4HBT
NP_415770.1,1,PF04279,IspA
NP_415771.1,1,PF06790,UPF0259
NP_415773.1,1,PF05974,DUF892
NP_415774.1,1,PF05974,DUF892
NP_415775.4,1,PF10685,KGG
NP_415776.1,1,PF00290,Trp_syntA
NP_415777.1,1,PF00291,PALP
NP_415781.1,1,PF08255,Leader_Trp
NP_415782.1,1,PF02811,PHP
NP_415783.6,1,PF01300,Sua5_yciO_yrdC
NP_415789.1,1,PF10692,DUF2498
NP_415793.1,1,PF00925,GTP_cyclohydro2
NP_415794.1,1,PF01569,PAP2
NP_415795.1,1,PF06305,LapA_dom
NP_415797.1,1,PF00215,OMPdecase
NP_415798.2,1,PF01253,SUI1
NP_415805.1,1,PF04480,DUF559
NP_415806.1,1,PF00005,ABC_tran
NP_415809.1,1,PF00528,BPD_transp_1
NP_415810.1,1,PF00496,SBP_bac_5
NP_415811.1,1,PF10820,DUF2543
NP_415813.4,1,PF00120,Gln-synt_C
NP_415816.1,1,PF00171,Aldedh
NP_415820.1,1,PF04012,PspA_IM30
NP_415821.1,1,PF06667,PspB
NP_415822.1,1,PF04024,PspC
NP_415823.1,1,PF09584,Phageshock_PspD
NP_415824.1,1,PF00581,Rhodanese
NP_415825.4,1,PF00128,Alpha-amylase
NP_415827.1,1,PF00528,BPD_transp_1
NP_415828.1,1,PF00528,BPD_transp_1
NP_415829.1,1,PF00107,ADH_zinc_N
NP_415830.2,1,PF01261,AP_endonuc_2
NP_415837.1,1,PF04317,DUF463
NP_415838.1,1,PF05128,DUF697
NP_415842.2,1,PF00246,Peptidase_M14
NP_415845.2,1,PF00496,SBP_bac_5
NP_415848.1,1,PF10749,DUF2534
NP_415849.1,1,PF00582,Usp
NP_415852.2,1,PF03806,ABG_transport
NP_415856.1,1,PF01713,Smr
NP_415858.1,1,PF01544,CorA
NP_415860.1,1,PF01171,ATP_bind_3
NP_415862.4,1,PF06806,DUF1233
NP_415863.1,1,PF06688,DUF1187
NP_415864.1,1,PF14354,Lar_restr_allev
NP_415865.1,1,PF03837,RecT
NP_415869.2,1,PF27398,KilR
NP_415870.4,1,PF14163,SieB
NP_415872.2,1,PF07151,DUF1391
NP_415873.2,1,PF14555,UBA_4
NP_415876.1,1,PF06254,YdaT_toxin
NP_415877.1,1,PF07120,DUF1376
NP_415881.1,1,PF02386,TrkH
NP_415883.1,1,PF02195,ParB_N
NP_415893.2,1,PF27475,YnaE
NP_415894.4,1,PF00582,Usp
NP_415897.1,1,PF03724,META
NP_415899.1,1,PF11739,YdbH-like
NP_415900.1,1,PF13617,Lipoprotein_19
NP_415901.2,1,PF07027,DUF1318
NP_415903.4,1,PF00171,Aldedh
NP_415906.1,1,PF05138,PaaA_PaaC
NP_415907.1,1,PF06243,PaaB
NP_415908.1,1,PF05138,PaaA_PaaC
NP_415921.2,1,PF01527,HTH_Tnp_1
NP_415924.1,1,PF00248,Aldo_ket_red
NP_415925.2,1,PF10971,DUF2773
NP_415926.4,1,PF01066,CDP-OH_P_transf
NP_415927.1,1,PF01148,CTP_transf_1
NP_415932.1,1,PF02698,DUF218
NP_415933.1,1,PF00171,Aldedh
NP_415935.2,1,PF01292,Ni_hydr_CYTB
NP_415936.1,1,PF27300,YdcA
NP_415940.1,1,PF07063,HGLS
NP_415941.5,1,PF04349,MdoG
NP_415943.4,1,PF04325,DUF465
