protein,pfam_name,pfam_accession,evalue,score
NP_415872.2,DUF1391,PF07151,7.7e-27,93.2
NP_415877.1,DUF1376,PF07120,1.8e-26,92.9
NP_415888.1,DUF772,PF05598,2.9e-25,89.2
NP_415901.2,DUF1318,PF07027,2.1e-31,108.9
NP_415925.2,DUF2773,PF10971,1.0000000000000001e-45,154.3
NP_415931.4,DUF3418,PF11898,3.8e-240,799.1
NP_415932.1,DUF218,PF02698,4.4e-14,53.1
NP_415943.4,DUF465,PF04325,2.2e-15,57.0
NP_415948.1,DUF3313,PF11769,4.6e-63,213.0
NP_415952.2,DUF3656,PF12392,1.4e-20,74.6
NP_415953.1,DUF2554,PF10829,3e-41,139.8
NP_415963.1,DUF2526,PF10735,2.1000000000000003e-44,150.1
NP_415969.1,DUF5074,PF16819,3.1e-08,33.9
NP_415972.1,DUF5445,PF17520,8.199999999999999e-41,138.2
NP_416014.4,DUF3641,PF12345,1.1e-05,26.1
NP_416040.1,DUF4186,PF13811,3.3e-52,175.8
NP_416067.2,DUF1398,PF07166,1.7e-46,157.7
NP_416071.1,DUF2514,PF10721,8.6e-39,133.8
NP_416073.1,DUF1327,PF07041,2.4e-44,150.7
NP_416078.4,DUF968,PF06147,4.5e-76,255.2
NP_416089.1,DUF1391,PF07151,2.9e-27,94.5
NP_416093.1,DUF1482,PF07358,4.3e-26,91.1
NP_416100.1,DUF1283,PF06932,2.7000000000000002e-45,153.0
NP_416103.2,DUF1161,PF06649,6.5e-19,68.6
NP_416131.1,DUF945,PF06097,4.5e-154,514.5
NP_416143.2,DUF2569,PF10754,2.2e-39,135.8
NP_416160.1,DUF1656,PF07869,3.3e-14,53.3
NP_416165.2,DUF1289,PF06945,2e-19,69.7
NP_416190.1,DUF2767,PF10965,6.5e-36,122.5
NP_416236.1,DUF481,PF04338,1.2e-58,199.2
NP_416257.1,DUF4890,PF16231,1.5e-09,39.1
NP_416274.1,DUF1496,PF07383,1.2e-25,89.4
NP_416276.4,DUF1266,PF06889,2.4e-26,93.6
NP_416291.4,DUF1315,PF07023,4.2e-26,91.4
NP_416298.1,DUF444,PF04285,4.4e-191,636.0
NP_416303.1,DUF441,PF04284,1.1e-43,149.1
NP_416306.2,DUF488-N3i,PF22752,1.6e-40,139.3
NP_416306.2,DUF488,PF04343,9.100000000000001e-32,110.8
NP_416306.2,DUF488-N3a,PF22751,5.3999999999999994e-24,85.3
NP_416307.1,DUF333,PF03891,8.8e-21,74.6
NP_416310.1,DUF1869,PF08956,5.2000000000000006e-33,113.3
NP_416324.2,DUF1889,PF08986,5.300000000000001e-28,97.5
NP_416334.1,DUF986,PF06173,4.8e-65,218.6
NP_416338.1,DUF2527,PF10736,2.2e-26,91.9
NP_416344.1,DUF3340,PF11818,3.2e-39,135.1
NP_416350.4,DUF1480,PF07351,2.6e-36,124.2
NP_416351.2,DUF1482,PF07358,5.7000000000000006e-36,122.8
NP_416353.1,DUF2511,PF10709,2.2e-45,153.6
NP_416360.1,DUF533,PF04391,9.900000000000002e-44,149.6
NP_416382.1,DUF72,PF01904,5.2e-50,171.1
NP_416416.2,DUF2766,PF10964,2e-46,156.6
NP_416419.1,DUF2492,PF10678,3.7e-37,127.0
NP_416425.1,DUF2594,PF10769,9.9e-38,128.6
NP_416463.4,DUF2525,PF10733,1.1000000000000001e-30,106.5
NP_416466.1,DUF2158,PF09926,4.6e-07,30.1
NP_416467.1,DUF808,PF05661,6.7e-113,377.3
NP_416498.2,DUF772,PF05598,3.9e-25,88.8
NP_416507.1,DUF987,PF06174,2.3e-40,137.2
NP_416511.4,DUF496,PF04363,2.5e-45,153.1
NP_416535.2,DUF772,PF05598,3.9e-25,88.8
NP_416575.1,DUF2314,PF10077,2.4e-25,89.8
NP_416584.4,DUF1508,PF07411,1.1e-44,150.6
NP_416615.1,DUF2574,PF10836,1.8e-52,175.7
NP_416621.1,DUF4132,PF13569,1.9e-48,165.4
NP_416624.1,DUF5682,PF18934,2.8000000000000002e-98,330.7
NP_416627.2,DUF1307,PF06998,5.2999999999999994e-46,156.3
NP_416628.1,DUF1456,PF07308,1.8e-51,172.8
NP_416649.1,DUF218,PF02698,5.4e-18,65.8
NP_416650.1,DUF2542,PF10808,1.0000000000000001e-45,154.7
NP_416657.1,DUF418,PF04235,2.7e-46,158.0
NP_416692.1,DUF1414,PF07208,7.699999999999999e-25,87.2
NP_416693.1,DUF3413,PF11893,1.2000000000000001e-106,356.1
NP_416696.2,DUF772,PF05598,3.9e-25,88.8
NP_416729.1,DUF2135,PF09906,2.6e-18,66.4
NP_416730.1,DUF2300,PF10062,3.1e-91,302.7
NP_416732.4,DUF1175,PF06672,9.8e-58,195.9
NP_416733.4,DUF2138,PF09909,1.5999999999999999e-291,968.5
NP_416769.1,DUF883_C,PF19029,3.1e-17,62.5
NP_416769.1,DUF883,PF05957,1.4e-09,38.3
NP_416775.1,DUF1877,PF08974,3.2e-35,122.3
NP_416798.1,DUF412,PF04217,3.1000000000000003e-57,193.1
NP_416807.1,DUF1731,PF08338,9.7e-19,67.4
NP_416823.1,DUF3410,PF11890,4.6e-27,94.2
NP_416835.2,DUF2544,PF11245,5.2999999999999997e-138,459.0
NP_416845.2,DUF406,PF04175,1.2e-36,125.6
NP_416861.1,DUF2303,PF10065,4.7e-93,311.9
NP_416863.1,DUF551,PF04448,0.0003,22.2
NP_416878.1,DUF2545,PF10810,7.7e-41,138.7
NP_416891.1,DUF2502,PF10697,3.4e-24,85.4
NP_416914.1,DUF5329,PF17263,5.399999999999999e-31,107.3
NP_416927.1,DUF1131,PF06572,1.3e-84,282.8
NP_416928.4,DUF2919,PF11143,3.8e-49,167.4
NP_416961.1,DUF1176,PF06674,6.1e-109,365.1
NP_416999.1,DUF2633,PF11119,4.0000000000000003e-28,97.6
NP_417001.1,DUF5384,PF17358,8.3e-62,208.2
NP_417018.4,DUF3663,PF12404,1.1999999999999999e-35,121.7
NP_417044.4,DUF5107,PF17128,1.5999999999999999e-55,188.8
NP_417081.2,DUF2279,PF10043,1.2e-09,39.3
NP_417093.2,DUF2799,PF10973,1.6e-19,70.7
NP_417094.1,DUF4154,PF13689,2.3000000000000002e-30,106.2
NP_417114.1,DUF3987,PF13148,3.5e-111,372.5
NP_417122.1,DUF932,PF06067,1.8e-51,175.7
NP_417157.1,DUF2002,PF09400,1.3e-64,215.6
NP_417158.4,DUF883,PF05957,3.1e-14,53.2
NP_417158.4,DUF883_C,PF19029,4.8e-14,52.3
NP_417229.1,DUF3561,PF12084,1.8e-53,179.7
NP_417272.1,DUF446,PF04287,1.3e-34,118.7
NP_417275.1,DUF4478,PF14793,2.7e-46,156.6
NP_417287.1,DUF423,PF04241,2.1e-23,82.9
NP_417289.2,DUF903,PF06004,7.8e-24,83.9
NP_417301.4,DUF2509,PF10713,1.2e-40,139.1
NP_417310.1,DUF903,PF06004,1.8999999999999998e-24,85.9
NP_417423.4,DUF179,PF02622,4.2e-52,176.8
NP_417428.2,DUF167,PF02594,5.6999999999999995e-25,87.9
NP_417431.1,DUF1202,PF06717,1.4999999999999998e-197,655.7
NP_417433.1,DUF2884,PF11101,1.2e-20,74.7
NP_417441.1,DUF554,PF04474,7.699999999999999e-68,228.8
NP_417456.2,DUF772,PF05598,3.9e-25,88.8
NP_417472.1,DUF2623,PF11115,4.6e-43,145.9
NP_417499.1,DUF2645,PF10840,1.0999999999999999e-25,90.7
NP_417505.1,DUF1249,PF06853,1.1999999999999999e-41,141.9
NP_417509.3,DUF1190,PF06693,3.1999999999999998e-55,187.4
NP_417548.1,DUF386,PF04074,9.1e-26,91.2
NP_417557.1,DUF218,PF02698,3.8e-20,72.7
NP_417568.2,DUF1090,PF06476,2.1e-34,118.4
NP_417569.1,DUF883_C,PF19029,1.6e-15,57.0
NP_417569.1,DUF883,PF05957,4.5e-13,49.5
NP_417574.1,DUF805,PF05656,3.5999999999999997e-35,121.4
NP_417575.1,DUF805,PF05656,3.5000000000000004e-32,111.8
NP_417639.6,DUF150_C,PF17384,1.1e-23,83.8
NP_417681.1,DUF1120,PF06551,9.4e-46,155.3
NP_417685.2,DUF772,PF05598,3.9e-25,88.8
NP_417686.1,DUF1120,PF06551,1.4999999999999998e-47,161.1
NP_417687.1,DUF1016_N,PF17761,1.5e-37,129.3
NP_417688.1,DUF386,PF04074,1.5999999999999998e-41,142.3
NP_417701.1,DUF6288,PF19805,5.3e-07,29.7
NP_417709.2,DUF1656,PF07869,2e-20,73.1
NP_417723.1,DUF997,PF06196,1.5000000000000002e-28,99.1
NP_417729.1,DUF2556,PF10831,2.7e-36,123.9
NP_417739.1,DUF1488,PF07369,8.8e-34,116.0
NP_417743.1,DUF494,PF04361,2.9e-59,199.9
NP_417828.1,DUF4223,PF13978,1.1e-34,118.6
NP_417837.2,DUF2620,PF10941,6.3e-52,175.2
NP_417861.1,DUF4153,PF13687,5.6e-37,128.4
NP_417905.1,DUF2756,PF10956,1.2e-60,202.9
NP_417913.1,DUF3382,PF11862,7.399999999999999e-25,87.7
NP_417923.1,DUF1145,PF06611,1.1e-26,93.1
NP_417924.1,DUF2500,PF10694,1.1000000000000001e-30,106.9
NP_417945.1,DUF4049,PF13258,9.300000000000001e-180,597.5
NP_417948.4,DUF2776,PF10951,1.8e-145,485.1
NP_417962.2,DUF772,PF05598,3.9e-25,88.8
NP_417968.1,DUF308,PF03729,5.8e-19,68.7
NP_418010.2,DUF3053,PF11254,2.9000000000000003e-100,335.0
NP_418014.1,DUF1153,PF06627,2.8e-05,24.7
NP_418033.1,DUF386,PF04074,4.1e-43,147.5
NP_418044.1,DUF3302,PF11742,2.4999999999999997e-43,146.7
NP_418050.1,DUF6531,PF20148,6.6e-18,65.4
NP_418055.1,DUF3302,PF11742,3e-41,140.0
NP_418059.1,DUF2810,PF10928,1.9e-32,111.7
NP_418119.2,DUF1198,PF06711,4.9e-72,241.2
NP_418131.1,DUF202,PF02656,1e-11,45.7
NP_418132.1,DUF202,PF02656,2.5e-19,70.1
NP_418143.2,DUF1375,PF07119,4.9e-08,33.7
NP_418144.3,DUF3748,PF12566,2e-58,196.3
NP_418213.1,DUF413,PF04219,1.7e-38,131.1
NP_418255.1,DUF484,PF04340,4.499999999999999e-90,301.8
NP_418261.1,DUF2628,PF10947,4.1e-10,40.6
NP_418290.4,DUF1949,PF09186,3.3e-15,56.3
NP_418295.1,DUF1040,PF06288,1.8000000000000002e-44,150.6
NP_418298.4,DUF945,PF06097,8.5e-109,365.2
NP_418332.1,DUF3829,PF12889,7.6e-105,351.2
NP_418355.1,DUF1454,PF07305,3.6e-92,307.6
NP_418356.1,DUF805,PF05656,1.5e-19,71.1
NP_418357.1,DUF406,PF04175,9.8e-29,100.3
NP_418379.1,DUF1287,PF06940,2.1999999999999998e-75,252.5
NP_418399.1,DUF1422,PF07226,1.4999999999999999e-53,180.3
NP_418427.1,DUF416,PF04222,8.599999999999999e-83,277.1
NP_418429.1,DUF1481,PF07356,2.5e-74,249.6
NP_418447.1,DUF3811,PF11656,1.3e-42,144.7
NP_418472.1,DUF2713,PF10897,1.7000000000000002e-167,555.4
NP_418492.1,DUF485,PF04341,5.399999999999999e-31,107.0
NP_418545.1,DUF2238,PF09997,6e-65,218.9
NP_418568.2,DUF4156,PF13698,2.1e-35,121.6
NP_418582.1,DUF2645,PF10840,2.1000000000000003e-33,115.5
NP_418587.1,QueG_DUF1730,PF08331,1.2999999999999998e-24,86.4
NP_418597.1,DUF2065,PF09838,5.5e-21,75.0
NP_418602.1,DUF2170,PF09938,1.6000000000000002e-44,151.6
NP_418604.1,DUF2491,PF10679,3.5000000000000003e-71,239.3
NP_418605.1,DUF350,PF03994,1.5e-33,116.3
NP_418606.1,DUF1190,PF06693,3.2e-17,63.9
NP_418625.1,DUF2686,PF10887,1.8e-156,519.9
NP_418638.2,DUF1107,PF06526,4.8e-29,100.7
NP_418673.4,DUF386,PF04074,2.9e-44,151.2
NP_418684.1,DUF87,PF01935,1e-06,29.6
NP_418712.1,DUF4880,PF16220,3.7e-10,40.1
NP_418745.3,DUF2686,PF10887,2.0000000000000003e-165,549.3
NP_418756.1,DUF445,PF04286,2.9e-119,399.8
NP_418779.2,DUF7024,PF22895,3.4e-66,222.2
NP_418780.2,DUF2501,PF10696,4.4999999999999995e-31,107.5
NP_418794.1,DUF6363,PF19890,1.1e-22,80.2
NP_418805.1,DUF5609,PF18429,5.6e-19,68.3
NP_418806.1,DUF7125,PF23442,9.4e-08,32.4
YP_001165309.1,DUF3950,PF13132,2.7e-18,66.3
YP_009518743.1,DUF3987,PF13148,4e-08,33.4
YP_009518770.2,DUF772,PF05598,3.9e-25,88.8
YP_009518776.1,DUF1627,PF07789,4.0000000000000006e-34,118.2
YP_009518797.1,DUF5983_N,PF25638,2.3e-29,101.4
YP_009518808.1,DUF5508,PF17621,1.8999999999999999e-187,621.2
YP_009518809.1,DUF5507,PF17612,6.5000000000000005e-111,367.8
YP_026189.1,DUF4092,PF13322,1.1e-95,319.0
YP_026195.1,DUF3828,PF12883,2.5e-46,157.5
YP_026196.1,DUF3362,PF11842,4.5e-40,137.9
YP_026224.1,DUF4329,PF14220,7.799999999999999e-39,132.8
YP_026224.1,DUF6531,PF20148,7.3e-18,65.3
YP_026288.1,DUF898,PF05987,6.3e-46,157.6
YP_588435.1,DUF987,PF06174,3.1e-42,143.2
YP_588453.1,DUF333,PF03891,1.1e-14,55.0
YP_588454.1,DUF3950,PF13132,1.2e-18,67.5
YP_588466.1,DUF987,PF06174,2.5e-33,114.6
YP_588468.1,DUF2387,PF09526,2.9e-19,69.5
YP_588478.1,DUF1435,PF07256,3.3999999999999997e-31,107.7
YP_588479.2,DUF1328,PF07043,1.9e-13,51.1
