protein,pfam_name,pfam_accession,evalue,score
NP_414567.1,tRNA-synt_1g,PF09334,2.4e-19,70.0
NP_414567.1,zf-FPG_IleRS,PF06827,6.3e-11,42.5
NP_414567.1,tRNA-synt_1e,PF01406,9.7e-09,35.6
NP_414567.1,tRNA-synt_1_2,PF13603,3.3e-06,27.3
NP_414567.1,tRNA-synt_1f,PF01921,2.5e-06,27.3
NP_414568.1,Peptidase_A8,PF01252,1.1e-41,143.0
NP_414569.1,FKBP_C,PF00254,4.7e-14,53.1
NP_414570.1,LYTB,PF02401,4.3e-102,341.6
NP_414571.1,IU_nuc_hydro,PF01156,2.1e-92,310.6
NP_414572.1,DapB_C,PF05173,5.2e-45,153.0
NP_414572.1,DapB_N,PF01113,2.1e-43,147.9
NP_414573.1,GATase,PF00117,3.1e-58,197.2
NP_414573.1,CPSase_sm_chain,PF00988,2.2e-53,180.0
NP_414573.1,Peptidase_C26,PF07722,1.1e-06,29.2
NP_414574.1,CPSase_L_D2,PF02786,1e-117,391.7
NP_414574.1,CPSase_L_D1,PF25596,3e-102,337.3
NP_414574.1,CPSase_L_D3,PF02787,1.7e-26,92.6
NP_414574.1,MGS,PF02142,9.2e-22,77.6
NP_414574.1,ATP-grasp,PF02222,8.4e-14,52.2
NP_414574.1,Dala_Dala_lig_C,PF07478,2.3e-11,44.2
NP_414574.1,ATP-grasp_3,PF02655,1.9e-10,41.6
NP_414574.1,ATP-grasp_4,PF13535,1.2e-09,38.6
NP_414574.1,ATPgrasp_Ter,PF15632,2.6e-09,37.5
NP_414574.1,CoA_binding_2,PF13380,8.9e-05,23.5
NP_414576.4,CaiF_GrlA,PF07180,1.6e-10,41.8
NP_414577.2,Hexapep,PF00132,5.2e-15,55.0
NP_414577.2,GMPPB_C,PF25087,3.4e-09,37.0
NP_414578.2,ECH_1,PF00378,7.6e-87,291.4
NP_414578.2,ECH_2,PF16113,7e-33,115.1
NP_414579.4,AMP-binding,PF00501,9.5e-76,255.7
NP_414579.4,AMP-binding_C,PF13193,2.3e-16,61.1
NP_414580.1,CoA_transf_3,PF02515,4.4e-79,266.8
NP_414581.1,Acyl-CoA_dh_1,PF00441,1e-47,162.6
NP_414581.1,Acyl-CoA_dh_M,PF02770,8.3e-25,87.4
NP_414581.1,Acyl-CoA_dh_N,PF02771,2.3e-15,57.5
NP_414581.1,Acyl-CoA_dh_2,PF08028,3.8e-13,50.4
NP_414582.1,BCCT,PF02028,2.2e-119,399.6
NP_414583.2,ETF,PF01012,1.6e-37,129.7
NP_414584.1,ETF_alpha,PF00766,4.9e-30,103.9
NP_414584.1,ETF,PF01012,1.6e-15,58.0
NP_414585.1,DAO,PF01266,7.2e-18,65.8
NP_414585.1,ETF-QO_FixC_C,PF26311,7e-17,61.9
NP_414585.1,FAD_binding_3,PF01494,2.2e-13,50.8
NP_414585.1,FAD_oxidored,PF12831,1.8e-09,38.0
NP_414585.1,FAD_binding_2,PF00890,3.7e-09,36.9
NP_414585.1,ETFQO_UQ-bd,PF21162,1.3e-08,35.9
NP_414585.1,Pyr_redox_2,PF07992,9.7e-09,35.6
NP_414585.1,NAD_binding_8,PF13450,7.8e-08,33.1
NP_414585.1,GIDA,PF01134,6.5e-08,32.6
NP_414585.1,Thi4,PF01946,1.1e-07,31.9
NP_414585.1,Trp_halogenase,PF04820,9.9e-07,28.5
NP_414585.1,Pyr_redox,PF00070,6.8e-06,27.1
NP_414587.1,Sugar_tr,PF00083,1e-52,180.2
NP_414587.1,MFS_1,PF07690,9.8e-41,140.4
NP_414588.1,Flavodoxin_2,PF02525,5.2e-44,150.9
NP_414588.1,FMN_red,PF03358,2.6e-06,27.7
NP_414589.1,Na_H_Exchanger,PF00999,3.9e-58,197.7
NP_414589.1,TrkA_N,PF02254,2e-28,99.6
NP_414589.1,KefB_C,PF27452,2.5e-19,69.9
NP_414590.1,DHFR_1,PF00186,2.5e-60,203.4
NP_414591.1,Metallophos,PF00149,7.2e-17,63.1
NP_414592.1,DUF525,PF04379,3.1e-35,120.9
NP_414593.1,RrnaAD,PF00398,8.3e-98,327.3
NP_414594.1,PdxA,PF04166,3.3e-114,381.8
NP_414595.1,Rotamase,PF00639,7.6e-50,168.4
NP_414595.1,SurA_N,PF09312,6.6e-48,162.4
NP_414595.1,Rotamase_3,PF13616,4.9e-45,153.4
NP_414595.1,Rotamase_2,PF13145,1.8e-18,68.1
NP_414595.1,SurA_N_3,PF13624,4.2e-13,50.0
NP_414595.1,SurA_N_2,PF13623,9.2e-07,29.4
NP_414596.1,LptD,PF04453,1.8e-121,406.6
NP_414596.1,LptD_N,PF03968,1.2e-24,87.3
NP_414597.1,DjlA_TM,PF27507,1e-15,58.2
NP_414597.1,DnaJ,PF00226,1.3e-10,41.8
NP_414597.1,TerB,PF05099,2.3e-08,34.9
NP_414600.1,PseudoU_synth_2,PF00849,7.4e-32,111.3
NP_414601.1,RapA_C,PF12137,1.1e-154,515.5
NP_414601.1,Tudor_RapA,PF18337,1e-26,93.5
NP_414601.1,Tudor_1_RapA,PF18339,5.3e-24,84.5
NP_414601.1,Helicase_C,PF00271,4.5e-22,79.0
NP_414601.1,SNF2-rel_dom,PF00176,6.8e-19,68.6
NP_414601.1,ResIII,PF04851,1.2e-11,45.3
NP_414601.1,DEAD,PF00270,8e-07,29.5
NP_414602.1,DNA_pol_B,PF00136,1.3e-41,143.5
NP_414602.1,DNApolII_insertion,PF22587,3.7e-27,94.7
NP_414602.1,DNApolII_N,PF21474,7e-22,77.5
NP_414602.1,DNA_pol_B_exo1,PF03104,5.5e-12,46.2
NP_414603.1,Aldolase_II,PF00596,1e-52,179.3
NP_414604.1,AraA_N,PF02610,2.5e-81,272.0
NP_414604.1,AraA_central,PF24856,1.8e-72,243.2
NP_414604.1,Arabinose_Iso_C,PF11762,2e-65,219.5
NP_414605.1,FGGY_C,PF02782,1.1e-42,146.8
NP_414605.1,FGGY_N,PF00370,4e-10,40.3
NP_414606.1,AraC_binding,PF02311,9.6e-27,93.9
NP_414606.1,HTH_18,PF12833,4e-22,78.9
NP_414606.1,HTH_AraC,PF00165,1.3e-20,73.6
NP_414607.1,VTT_dom,PF09335,3.4e-19,70.1
NP_414608.1,ABC_tran,PF00005,5.9e-39,134.4
NP_414608.1,AAA_21,PF13304,1.3e-08,35.7
NP_414609.1,BPD_transp_1,PF00528,1.5e-13,51.5
NP_414610.1,SBP_bac_1,PF01547,1.5e-19,71.7
NP_414610.1,SBP_bac_6,PF13343,1.1e-15,58.4
NP_414610.1,SBP_bac_11,PF13531,5.5e-13,49.8
NP_414611.1,SgrR_N,PF12793,2.2e-43,147.8
NP_414611.1,SBP_bac_5,PF00496,3.1e-21,76.5
NP_414613.1,Aconitase_C,PF00694,3.1e-42,144.6
NP_414613.1,LeuD,PF27512,2.2e-12,47.1
NP_414613.1,LeuD_C,PF27434,3.1e-09,36.7
NP_414614.1,Aconitase,PF00330,1e-183,612.1
NP_414615.4,Iso_dh,PF00180,6.3e-150,499.8
NP_414616.1,HMGL-like,PF00682,7.4e-108,360.4
NP_414616.1,LeuA_dimer,PF08502,3.4e-39,134.3
NP_414616.1,HCS_D2,PF22617,1.9e-23,83.2
NP_414617.1,Leu_leader,PF08054,1.3e-21,76.5
NP_414618.4,HTH_1,PF00126,1.2e-17,64.2
NP_414618.4,LysR_substrate,PF03466,1.6e-17,64.2
NP_414620.1,ALS_ss_C,PF10369,2.2e-25,89.1
NP_414620.1,ACT_AHAS_ss,PF22629,2.5e-22,79.4
NP_414620.1,ACT,PF01842,1.5e-15,57.2
NP_414620.1,ACT_5,PF13710,5.7e-12,45.8
NP_414622.1,LacI,PF00356,1.9e-18,66.6
NP_414622.1,Peripla_BP_1,PF00532,5e-14,53.0
NP_414622.1,Peripla_BP_3,PF13377,1.2e-11,45.5
NP_414622.1,Peripla_BP_4,PF13407,5.1e-10,39.9
NP_414623.1,MraZ,PF02381,1.7e-47,159.9
NP_414624.1,Methyltransf_5,PF01795,7.7e-124,413.8
NP_414625.1,FtsL,PF04999,5.9e-39,132.5
NP_414626.1,Transpeptidase,PF00905,1.9e-87,293.9
NP_414626.1,PBP_dimer,PF03717,7.5e-23,82.5
NP_414627.1,Mur_ligase_M,PF08245,2.6e-54,184.8
NP_414627.1,Mur_ligase_C,PF02875,1.7e-35,123.2
NP_414627.1,Mur_ligase,PF01225,2.9e-10,40.9
NP_414628.1,Mur_ligase_M,PF08245,2.6e-53,181.6
NP_414628.1,Mur_ligase_C,PF02875,2.5e-15,58.0
NP_414628.1,Mur_ligase,PF01225,6.4e-07,30.2
NP_414629.1,Glycos_transf_4,PF00953,5.8e-32,111.5
NP_414629.1,MraY_sig1,PF10555,2.6e-05,24.1
NP_414630.1,MurD-like_N,PF21799,4.1e-38,130.1
NP_414630.1,Mur_ligase_M,PF08245,7.8e-27,95.1
NP_414630.1,Mur_ligase_C,PF02875,3.3e-16,60.9
NP_414631.1,FTSW_RODA_SPOVE,PF01098,4.4e-135,450.8
NP_414632.1,Glyco_transf_28,PF03033,7.2e-50,169.3
NP_414632.1,Glyco_tran_28_C,PF04101,1.1e-38,133.4
NP_414632.1,Glyco_transf_4,PF13439,2.8e-07,31.3
NP_414632.1,Glyco_trans_1_4,PF13692,2.8e-06,28.3
NP_414633.1,Mur_ligase,PF01225,2.9e-34,117.9
NP_414633.1,Mur_ligase_M,PF08245,4.5e-27,95.9
NP_414633.1,Mur_ligase_C,PF02875,4.9e-16,60.3
NP_414634.1,Dala_Dala_lig_C,PF07478,7e-75,251.6
NP_414634.1,Dala_Dala_lig_N,PF01820,5e-20,72.8
NP_414634.1,CPSase_L_D2,PF02786,2.2e-07,31.2
NP_414634.1,ATP-grasp_4,PF13535,2.6e-06,27.7
NP_414635.1,FtsQ_DivIB_C,PF03799,2.2e-28,100.0
NP_414635.1,POTRA_1,PF08478,5.2e-19,68.9
NP_414636.1,FtsA,PF14450,3.6e-45,154.0
NP_414636.1,SHS2_FTSA,PF02491,1.2e-29,103.0
NP_414636.1,MreB_Mbl,PF06723,9.7e-10,38.4
NP_414636.1,PilM_2,PF11104,2.2e-09,37.3
NP_414637.1,Tubulin,PF00091,1.1e-51,176.4
NP_414637.1,FtsZ_C,PF12327,3.2e-37,127.3
NP_414638.1,LpxC,PF03331,1.8e-110,369.3
NP_414639.2,SecM,PF06558,4.7e-58,195.9
NP_414640.1,SecA_DEAD,PF07517,6.2e-131,436.5
NP_414640.1,P-loop_SecA,PF21090,2e-92,309.0
NP_414640.1,SecA_SW,PF07516,8.8e-73,245.2
NP_414640.1,SecA_PP_bind,PF01043,5.3e-41,140.2
NP_414640.1,SEC-C,PF02810,1.4e-10,41.4
NP_414640.1,DEAD,PF00270,4.1e-06,27.2
NP_414641.1,NUDIX,PF00293,3.2e-23,82.8
NP_414641.1,NUDIX_4,PF14815,1.3e-19,70.7
NP_414643.1,YacG,PF03884,1.7e-24,85.8
NP_414644.1,ZapD,PF07072,2.3e-75,253.5
NP_414645.1,CoaE,PF01121,3e-77,259.0
NP_414645.1,SKI,PF01202,0.00015,22.5
NP_414646.1,IMPDH,PF00478,3.5e-76,257.0
NP_414648.1,T2SSF,PF00482,1.2e-57,193.8
NP_414649.1,T2SSE,PF00437,1.2e-146,488.7
NP_414649.1,MshEN,PF05157,1.5e-05,25.5
NP_414650.1,N_methyl,PF07963,2.7e-10,40.0
NP_414651.1,QRPTase_C,PF01729,5.6e-65,218.8
NP_414651.1,QRPTase_N,PF02749,2.2e-20,73.2
NP_414652.1,Amidase_2,PF01510,6.3e-33,114.5
NP_414653.1,AmpE,PF17113,4.6e-157,522.3
NP_414654.1,AA_permease,PF00324,3.3e-144,481.7
NP_414654.1,AA_permease_2,PF13520,1.8e-37,129.8
NP_414655.1,GntR,PF00392,1.1e-25,89.6
NP_414655.1,FCD,PF07729,1.3e-16,61.7
NP_414656.1,PDH_E1_M,PF17831,5.9e-103,343.7
NP_414656.1,Transketolase_C_1,PF22613,8.8e-22,78.0
NP_414656.1,PDH_E1_N,PF28598,1.9e-17,63.4
NP_414656.1,Transketolase_N,PF00456,6.1e-16,58.9
NP_414657.1,2-oxoacid_dh,PF00198,1e-76,258.0
NP_414657.1,Biotin_lipoyl,PF00364,1.8e-67,223.7
NP_414657.1,BSH_YknX,PF25984,1.3e-20,73.5
NP_414657.1,E3_binding,PF02817,2.3e-16,60.3
NP_414657.1,BSH_RND,PF25917,2.2e-16,60.0
NP_414657.1,RnfC_N,PF13375,8.9e-11,42.3
NP_414657.1,GCV_H,PF01597,1.4e-09,38.5
NP_414657.1,BSH_CusB,PF25919,2.7e-09,37.3
NP_414657.1,BSH_CzcB,PF25973,4.1e-09,36.8
NP_414657.1,NQRA_N,PF05896,1.6e-07,32.0
NP_414658.1,Pyr_redox_2,PF07992,1.6e-66,225.3
NP_414658.1,Pyr_redox_dim,PF02852,2.8e-37,127.9
NP_414658.1,Pyr_redox,PF00070,1.3e-19,71.0
NP_414658.1,FAD_oxidored,PF12831,1.2e-08,35.3
NP_414658.1,Pyr_redox_3,PF13738,8.2e-08,32.4
NP_414658.1,GIDA,PF01134,1.2e-07,31.7
NP_414658.1,FAD_binding_2,PF00890,4.6e-06,26.7
NP_414658.1,NAD_binding_8,PF13450,6.5e-05,23.7
NP_414659.1,DUF3300,PF11737,1.7e-78,263.8
NP_414660.1,Aconitase_2_N,PF06434,4.3e-99,330.8
NP_414660.1,Aconitase_B_N,PF11791,3.9e-71,238.6
NP_414660.1,Aconitase,PF00330,2.5e-40,139.4
NP_414661.2,UPF0231,PF06062,6.5e-40,136.9
NP_414662.1,AdoMet_dc,PF02675,2.4e-14,54.1
NP_414663.1,Spermine_synth,PF01564,5.8e-73,245.0
NP_414663.1,Spermine_synt_N,PF17284,4.2e-21,75.2
NP_414664.4,T2SS_PulS_OutS,PF09691,2.8e-09,37.6
NP_414665.1,Cu-oxidase_3,PF07732,2.4e-32,112.1
NP_414665.1,Cu-oxidase_2,PF07731,7.8e-25,87.8
NP_414665.1,Cu-oxidase,PF00394,1.8e-07,32.0
NP_414666.1,PQQ,PF01011,7.9e-251,834.5
NP_414666.1,PQQ_2,PF13360,4.3e-20,73.0
NP_414666.1,EMC1_C,PF07774,5.7e-08,33.1
NP_414667.4,Pribosyltran,PF00156,1.7e-26,93.0
NP_414668.1,Pro_CA,PF00484,1.1e-52,179.1
NP_414669.1,ABC_tran,PF00005,3.1e-33,115.9
NP_414669.1,AAA_21,PF13304,3.5e-12,47.5
NP_414670.1,ABC2_membrane,PF01061,6.5e-40,137.5
NP_414671.1,EIIA-man,PF03610,6.8e-31,107.4
NP_414672.1,Polysacc_deac_1,PF01522,1.2e-21,77.5
NP_414673.1,Asp_decarbox,PF02261,8.3e-47,158.4
NP_414674.1,Transposase_31,PF04754,2.6e-87,292.3
NP_414675.1,Pantoate_ligase,PF02569,5.1e-107,357.6
NP_414676.1,Pantoate_transf,PF02548,6.4e-105,350.8
NP_414677.1,Fimbrial,PF00419,4.1e-13,50.5
NP_414678.1,Fimbrial,PF00419,1.2e-05,26.2
NP_414679.1,Fimbrial,PF00419,1.1e-09,39.4
NP_414680.4,Fimbrial,PF00419,2.7e-26,93.3
NP_414681.1,Usher,PF00577,8.2e-158,527.2
NP_414681.1,PapC_N,PF13954,3.1e-45,154.3
NP_414681.1,PapC_C,PF13953,1e-19,70.7
NP_414682.1,PapD_N,PF00345,2.9e-44,150.6
NP_414682.1,PapD_C,PF02753,3.9e-20,72.5
NP_414683.1,Fimbrial,PF00419,1.2e-11,45.8
NP_414684.1,HPPK,PF01288,2.6e-38,131.5
NP_414685.4,PolyA_pol,PF01743,2e-41,141.9
NP_414685.4,PolyA_pol_arg_C,PF12626,2.8e-40,137.6
NP_414685.4,PolyA_pol_RNAbd,PF12627,7.8e-21,74.2
NP_414686.3,tRNA-synt_1c,PF00749,2.4e-48,165.2
NP_414687.1,DksA_N,PF21157,1.9e-34,118.3
NP_414687.1,zf-dskA_traR,PF01258,1.7e-10,41.3
NP_414688.1,SfsA,PF03749,4.5e-52,176.2
NP_414688.1,SfsA_N,PF17746,7.9e-23,81.0
NP_414689.4,LigT_PEase,PF02834,3.3e-22,79.0
NP_414689.4,2_5_RNA_ligase2,PF13563,2.7e-13,50.8
NP_414690.4,HrpB_C,PF08482,2.6e-54,183.7
NP_414690.4,CON_HrpB,PF24473,3e-14,53.1
NP_414690.4,DEAD,PF00270,3.3e-12,47.0
NP_414690.4,Helicase_C,PF00271,1.5e-09,38.7
NP_414691.1,Transgly,PF00912,1.6e-56,191.1
NP_414691.1,UB2H,PF14814,1.4e-25,89.7
NP_414691.1,PBP1_TM,PF14812,4.3e-25,88.4
NP_414691.1,Transpeptidase,PF00905,2.3e-24,86.7
NP_414692.1,TonB_dep_Rec_b-barrel,PF00593,1.7e-64,219.9
NP_414692.1,Plug,PF07715,7.2e-23,81.7
NP_414693.1,ABC_tran,PF00005,5.3e-35,121.6
NP_414693.1,AAA_21,PF13304,4.1e-07,30.8
NP_414694.1,Peripla_BP_2,PF01497,1e-29,104.2
NP_414695.1,FecCD,PF01032,4e-135,450.4
NP_414696.1,Aminotran_3,PF00202,2.2e-80,270.9
NP_414697.1,Voltage_CLC,PF00654,4.5e-101,339.1
NP_414698.1,Fe-S_biosyn,PF01521,8.2e-21,74.9
NP_414699.1,Gly_transporter,PF03458,1.4e-45,153.6
NP_414700.1,Peripla_BP_2,PF01497,9e-24,84.7
NP_414701.1,PNP_UDP_1,PF01048,6.2e-56,190.0
NP_414702.1,HD_assoc,PF13286,1.5e-08,35.6
NP_414702.1,HD,PF01966,9e-08,33.0
NP_414703.1,Trypsin_2,PF13365,1e-33,117.7
NP_414703.1,PDZ,PF00595,5.1e-30,104.3
NP_414703.1,PDZ_2,PF13180,4.8e-27,94.6
NP_414703.1,Trypsin,PF00089,1.3e-24,87.8
NP_414703.1,PDZ_6,PF17820,1.7e-21,76.3
NP_414704.4,Diacid_rec,PF05651,8e-51,171.8
NP_414704.4,HTH_30,PF13556,7.9e-23,80.6
NP_414704.4,GGDEF_2,PF17853,9.5e-18,65.1
NP_414705.1,DUF3461,PF11944,2.7e-55,186.4
NP_414706.2,Metallophos,PF00149,7.1e-13,50.0
NP_414708.1,THDPS_N_2,PF14805,5.2e-29,100.8
NP_414708.1,Hexapep_2,PF14602,1.1e-13,51.3
NP_414708.1,Hexapep,PF00132,2.3e-13,49.8
NP_414709.1,GlnD_UR_UTase,PF08335,1.4e-45,155.3
NP_414709.1,GlnD_3rd,PF27444,1.8e-27,96.1
NP_414709.1,ACT,PF01842,1e-20,73.7
NP_414709.1,GlnD_5th,PF27446,8.9e-18,64.6
NP_414709.1,HD,PF01966,6.9e-13,49.5
NP_414709.1,NTP_transf_2,PF01909,3.9e-07,31.0
NP_414709.1,DUF294,PF03445,8.2e-06,26.3
NP_414710.1,Peptidase_M24,PF00557,3.6e-54,184.3
NP_414711.1,Ribosomal_S2,PF00318,7.2e-97,323.4
NP_414712.1,EF_TS,PF00889,2.1e-64,217.4
NP_414713.1,AA_kinase,PF00696,4e-34,118.9
NP_414714.1,RRF,PF01765,2.6e-68,229.6
NP_414715.1,DXP_reductoisom,PF02670,5.5e-51,173.2
NP_414715.1,DXPR_C,PF13288,1.9e-41,141.6
NP_414715.1,DXP_redisom_C,PF08436,4e-36,123.6
NP_414716.1,Prenyltransf,PF01255,1.2e-85,287.1
NP_414717.2,CTP_transf_1,PF01148,2.7e-71,241.1
NP_414718.1,Peptidase_M50,PF02163,3.5e-79,265.8
NP_414718.1,PDZ,PF00595,2.4e-14,54.0
NP_414718.1,PDZ_6,PF17820,6.1e-14,52.1
NP_414718.1,PDZ_2,PF13180,2.8e-09,37.7
NP_414718.1,Pept_S41_N_bact,PF21558,8.7e-07,29.4
NP_414719.1,Omp85,PF01103,4.6e-112,375.3
NP_414719.1,POTRA,PF07244,1.5e-68,228.1
NP_414719.1,POTRA_1,PF08478,3.4e-07,31.1
NP_414719.1,POTRA_2,PF08479,1.2e-05,25.7
NP_414720.1,OmpH,PF03938,1.6e-25,90.5
NP_414721.1,Hexapep,PF00132,4e-32,109.2
NP_414721.1,LpxD,PF04613,1.1e-21,77.0
NP_414721.1,GMPPB_C,PF25087,1.7e-15,57.3
NP_414721.1,LbH_EIF2B,PF25084,4.7e-15,56.1
NP_414721.1,Hexapep_2,PF14602,4.8e-10,39.6
NP_414722.1,FabA,PF07977,3.1e-40,137.6
NP_414722.1,ApeI-like,PF22818,1e-16,61.4
NP_414722.1,ApeP-like,PF22817,7.6e-09,35.9
NP_414723.1,Hexapep,PF00132,1.7e-29,100.9
NP_414723.1,Acetyltransf_11,PF13720,6.8e-29,100.7
NP_414723.1,GMPPB_C,PF25087,1.7e-11,44.5
NP_414724.1,LpxB,PF02684,2.1e-159,531.0
NP_414725.1,RNase_HII,PF01351,6.4e-37,128.0
NP_414726.1,DNA_pol3_alpha,PF07733,1.8e-106,356.1
NP_414726.1,DNA_pol3_finger,PF17657,3.3e-67,225.6
NP_414726.1,PHP,PF02811,8.9e-43,147.0
NP_414726.1,DNA_pol_IIIA_C,PF20914,1e-28,99.5
NP_414726.1,HHH_6,PF14579,2.7e-28,98.6
NP_414726.1,tRNA_anti-codon,PF01336,2.4e-11,44.0
NP_414727.1,ACCA,PF03255,9.8e-149,495.2
NP_414727.1,Carboxyl_trans,PF01039,4.7e-18,65.7
NP_414728.1,OKR_DC_1,PF01276,3.3e-197,655.9
NP_414728.1,OKR_DC_1_C,PF03711,3.6e-47,160.6
NP_414728.1,OKR_DC_1_N,PF03709,1.5e-29,103.1
NP_414729.4,Glyoxalase,PF00903,4.3e-30,105.2
NP_414729.4,Glyoxalase_4,PF13669,2.3e-12,47.7
NP_414730.1,ATP_bind_3,PF01171,1e-63,215.0
NP_414730.1,TilS_C,PF11734,2.1e-25,88.5
NP_414730.1,TilS,PF09179,4.7e-20,72.2
NP_414731.2,ROF,PF07073,4.6e-29,101.0
NP_414732.1,YaeQ,PF07152,1.5e-71,240.3
NP_414733.1,RF-1,PF00472,5.4e-26,91.4
NP_414734.1,NlpE_C,PF17185,1.3e-31,109.4
NP_414734.1,NlpE,PF04170,3.6e-28,98.8
NP_414735.4,Peptidase_C92,PF05708,2.3e-11,44.6
NP_414735.4,NLPC_P60,PF00877,9.9e-08,32.5
NP_414736.1,tRNA-synt_2b,PF00587,5e-37,128.3
NP_414736.1,tRNA_edit,PF04073,2.8e-26,92.6
NP_414736.1,HGTP_anticodon,PF03129,1.8e-22,79.8
NP_414737.1,TrmO_N,PF01980,4.4e-43,146.8
NP_414737.1,TrmO_C,PF18389,1.2e-25,89.8
NP_414738.1,RcsF,PF16358,9.6e-52,174.2
NP_414739.1,Lipoprotein_9,PF03180,2.4e-100,335.1
NP_414739.1,OpuAC,PF04069,6.8e-05,23.2
NP_414740.1,BPD_transp_1,PF00528,1.8e-20,74.1
NP_414741.1,ABC_tran,PF00005,6.5e-39,134.3
NP_414741.1,NIL,PF09383,5.7e-23,81.2
NP_414741.1,AAA_21,PF13304,6.1e-12,46.7
NP_414742.1,Hydrolase_like,PF13242,6e-13,49.1
NP_414742.1,HAD_2,PF13419,4.1e-11,43.8
NP_414742.1,Hydrolase,PF00702,5.6e-10,40.5
NP_414742.1,PNK3P,PF08645,1.2e-07,32.2
NP_414743.1,Aldo_ket_red,PF00248,3.3e-54,184.5
NP_414744.1,LysR_substrate,PF03466,4.3e-45,154.3
NP_414744.1,HTH_1,PF00126,2.2e-22,79.3
NP_414745.1,Exo_endo_phos,PF03372,6.4e-16,59.3
NP_414746.1,Methyltransf_11,PF08241,2e-23,83.4
NP_414746.1,Methyltransf_25,PF13649,2.5e-18,67.1
NP_414746.1,Methyltransf_31,PF13847,4.2e-16,59.6
NP_414746.1,Ubie_methyltran,PF01209,3.1e-14,53.5
NP_414746.1,Methyltransf_12,PF08242,1.1e-11,45.9
NP_414746.1,Methyltransf_23,PF13489,9.9e-12,45.5
NP_414747.1,SLT,PF01464,2.1e-32,111.7
NP_414747.1,LysM,PF01476,3.1e-32,110.8
NP_414747.1,LysM_RLK,PF23577,4.9e-10,39.9
NP_414747.1,LysM3_LYK4_5,PF23473,1.4e-08,35.3
NP_414747.1,NMB0315_dom_I,PF22310,7e-07,30.1
NP_414748.1,Lactamase_B,PF00753,3.5e-26,92.9
NP_414748.1,HAGH_C,PF16123,4.5e-22,78.8
NP_414749.2,Methyltransf_11,PF08241,8.2e-13,49.4
NP_414750.1,RNase_H,PF00075,5.4e-57,192.5
NP_414751.1,RNase_T,PF00929,2.1e-44,152.5
NP_414752.1,YafT,PF25851,1e-74,250.9
NP_414754.1,CN_hydrolase,PF00795,4.3e-33,115.3
NP_414755.1,Ivy,PF08816,6.6e-13,49.0
NP_414756.2,ACDH_C,PF09317,2.3e-117,392.3
NP_414756.2,Acyl-CoA_dh_N,PF02771,1.1e-17,65.0
NP_414756.2,Acyl-CoA_dh_1,PF00441,1.7e-12,48.3
NP_414756.2,Acyl-CoA_dh_M,PF02770,2.1e-08,34.8
