protein,header,is_hypothetical
NP_418697.1,NP_418697.1 uncharacterized protein YjgZ [Escherichia coli str. K-12 substr. MG1655],True
NP_418750.2,NP_418750.2 uncharacterized protein YjiH [Escherichia coli str. K-12 substr. MG1655],True
NP_418819.1,NP_418819.1 uncharacterized protein YjjY [Escherichia coli str. K-12 substr. MG1655],True
YP_001165307.1,YP_001165307.1 uncharacterized protein YkfM [Escherichia coli str. K-12 substr. MG1655],True
YP_001165308.1,YP_001165308.1 uncharacterized protein YlcH [Escherichia coli str. K-12 substr. MG1655],True
YP_001165314.1,YP_001165314.1 uncharacterized protein YmgI [Escherichia coli str. K-12 substr. MG1655],True
YP_001165315.1,YP_001165315.1 uncharacterized protein YmgJ [Escherichia coli str. K-12 substr. MG1655],True
YP_001165316.1,YP_001165316.1 uncharacterized protein YciY [Escherichia coli str. K-12 substr. MG1655],True
YP_001165318.1,YP_001165318.1 uncharacterized protein YncL [Escherichia coli str. K-12 substr. MG1655],True
YP_001165320.1,YP_001165320.1 uncharacterized protein YdgU [Escherichia coli str. K-12 substr. MG1655],True
YP_001165325.1,YP_001165325.1 uncharacterized protein YpfM [Escherichia coli str. K-12 substr. MG1655],True
YP_001165333.1,YP_001165333.1 uncharacterized protein YjbS [Escherichia coli str. K-12 substr. MG1655],True
YP_001491548.1,YP_001491548.1 uncharacterized protein YthA [Escherichia coli str. K-12 substr. MG1655],True
YP_002791240.1,YP_002791240.1 uncharacterized protein YnbG [Escherichia coli str. K-12 substr. MG1655],True
YP_002791243.1,YP_002791243.1 uncharacterized protein YoaJ [Escherichia coli str. K-12 substr. MG1655],True
YP_002791244.1,YP_002791244.1 uncharacterized protein YobI [Escherichia coli str. K-12 substr. MG1655],True
YP_002791246.1,YP_002791246.1 uncharacterized protein YoeI [Escherichia coli str. K-12 substr. MG1655],True
YP_002791253.1,YP_002791253.1 uncharacterized protein YqeL [Escherichia coli str. K-12 substr. MG1655],True
YP_002791254.1,YP_002791254.1 uncharacterized protein YqfG [Escherichia coli str. K-12 substr. MG1655],True
YP_002791258.1,YP_002791258.1 uncharacterized protein YrbN [Escherichia coli str. K-12 substr. MG1655],True
YP_002791259.1,YP_002791259.1 uncharacterized protein IlvX [Escherichia coli str. K-12 substr. MG1655],True
YP_002791260.1,YP_002791260.1 uncharacterized protein YshB [Escherichia coli str. K-12 substr. MG1655],True
YP_002791261.1,YP_002791261.1 uncharacterized protein YjeV [Escherichia coli str. K-12 substr. MG1655],True
YP_009518733.1,YP_009518733.1 uncharacterized protein MbiA [Escherichia coli str. K-12 substr. MG1655],True
YP_009518734.1,YP_009518734.1 putative uncharacterized protein YabP [Escherichia coli str. K-12 substr. MG1655],True
YP_009518748.2,YP_009518748.2 putative uncharacterized protein YahH [Escherichia coli str. K-12 substr. MG1655],True
YP_009518769.1,YP_009518769.1 putative uncharacterized protein YchS [Escherichia coli str. K-12 substr. MG1655],True
YP_009518773.1,YP_009518773.1 putative uncharacterized protein YmjC [Escherichia coli str. K-12 substr. MG1655],True
YP_009518774.1,YP_009518774.1 uncharacterized protein YmjD [Escherichia coli str. K-12 substr. MG1655],True
YP_009518776.1,YP_009518776.1 putative uncharacterized protein YdaW [Escherichia coli str. K-12 substr. MG1655],True
YP_009518777.1,YP_009518777.1 putative uncharacterized protein YdaY [Escherichia coli str. K-12 substr. MG1655],True
YP_009518782.1,YP_009518782.1 putative uncharacterized protein YddL [Escherichia coli str. K-12 substr. MG1655],True
YP_009518797.1,YP_009518797.1 putative uncharacterized protein YeeW [Escherichia coli str. K-12 substr. MG1655],True
YP_009518798.1,YP_009518798.1 putative uncharacterized protein YoeF [Escherichia coli str. K-12 substr. MG1655],True
YP_009518801.1,YP_009518801.1 uncharacterized protein YojO [Escherichia coli str. K-12 substr. MG1655],True
YP_009518805.1,YP_009518805.1 putative uncharacterized protein YpdJ [Escherichia coli str. K-12 substr. MG1655],True
YP_009518819.1,YP_009518819.1 putative uncharacterized protein YzgL [Escherichia coli str. K-12 substr. MG1655],True
YP_009518820.1,YP_009518820.1 uncharacterized protein YrhD [Escherichia coli str. K-12 substr. MG1655],True
YP_009518833.1,YP_009518833.1 uncharacterized protein YtiA [Escherichia coli str. K-12 substr. MG1655],True
YP_009518834.1,YP_009518834.1 putative uncharacterized protein YjiT [Escherichia coli str. K-12 substr. MG1655],True
YP_026174.2,YP_026174.2 uncharacterized protein YpjK [Escherichia coli str. K-12 substr. MG1655],True
YP_588439.1,YP_588439.1 uncharacterized protein YlcG [Escherichia coli str. K-12 substr. MG1655],True
YP_588449.3,YP_588449.3 uncharacterized protein YmiA [Escherichia coli str. K-12 substr. MG1655],True
YP_588450.2,YP_588450.2 uncharacterized protein YciX [Escherichia coli str. K-12 substr. MG1655],True
YP_588455.2,YP_588455.2 uncharacterized protein YniD [Escherichia coli str. K-12 substr. MG1655],True
YP_588456.1,YP_588456.1 uncharacterized protein YobH [Escherichia coli str. K-12 substr. MG1655],True
YP_588459.1,YP_588459.1 uncharacterized protein YehK [Escherichia coli str. K-12 substr. MG1655],True
YP_588471.1,YP_588471.1 uncharacterized protein YicS [Escherichia coli str. K-12 substr. MG1655],True
