protein,num_pfams,pfam_accession,pfam_name
NP_414685.4,2,PF12627,PolyA_pol_RNAbd
NP_414690.4,2,PF00270,DEAD
NP_414690.4,2,PF00271,Helicase_C
NP_414691.1,2,PF00905,Transpeptidase
NP_414691.1,2,PF00912,Transgly
NP_414703.1,2,PF13180,PDZ_2
NP_414703.1,2,PF13365,Trypsin_2
NP_414718.1,2,PF02163,Peptidase_M50
NP_414718.1,2,PF13180,PDZ_2
NP_414726.1,5,PF01336,tRNA_anti-codon
NP_414726.1,5,PF02811,PHP
NP_414726.1,5,PF07733,DNA_pol3_alpha
NP_414726.1,5,PF14579,HHH_6
NP_414726.1,5,PF17657,DNA_pol3_finger
NP_414736.1,2,PF00587,tRNA-synt_2b
NP_414736.1,2,PF03129,HGTP_anticodon
NP_414742.1,2,PF00702,Hydrolase
NP_414742.1,2,PF13419,HAD_2
NP_414744.1,2,PF00126,HTH_1
NP_414744.1,2,PF03466,LysR_substrate
NP_414788.1,2,PF00126,HTH_1
NP_414788.1,2,PF03466,LysR_substrate
NP_414807.1,2,PF00185,OTCace
NP_414807.1,2,PF02729,OTCace_N
NP_414838.2,3,PF01266,DAO
NP_414838.2,3,PF02852,Pyr_redox_dim
NP_414838.2,3,PF07992,Pyr_redox_2
NP_414850.1,2,PF00126,HTH_1
NP_414850.1,2,PF03466,LysR_substrate
NP_414859.1,2,PF00107,ADH_zinc_N
NP_414859.1,2,PF08240,ADH_N
NP_414869.1,2,PF00501,AMP-binding
NP_414869.1,2,PF13193,AMP-binding_C
NP_414872.3,2,PF00126,HTH_1
NP_414872.3,2,PF03466,LysR_substrate
NP_414890.1,2,PF00107,ADH_zinc_N
NP_414890.1,2,PF08240,ADH_N
NP_414915.1,2,PF01820,Dala_Dala_lig_N
NP_414915.1,2,PF07478,Dala_Dala_lig_C
NP_414920.1,2,PF03807,F420_oxidored
NP_414920.1,2,PF14748,P5CR_dimer
NP_414922.1,2,PF00004,AAA
NP_414922.1,2,PF01202,SKI
NP_414933.1,2,PF00072,Response_reg
NP_414933.1,2,PF00486,Trans_reg_C
NP_414934.1,2,PF00512,HisKA
NP_414934.1,2,PF02518,HATPase_c
NP_414951.1,2,PF00586,AIRS
NP_414951.1,2,PF02769,AIRS_C
NP_414954.1,3,PF02775,TPP_enzyme_C
NP_414954.1,3,PF02779,Transket_pyr
NP_414954.1,3,PF02780,Transketolase_C
NP_414970.1,3,PF00254,FKBP_C
NP_414970.1,3,PF05697,Trigger_N
NP_414970.1,3,PF05698,Trigger_C
NP_414972.1,4,PF00004,AAA
NP_414972.1,4,PF06689,zf-C4_ClpX
NP_414972.1,4,PF07724,AAA_2
NP_414972.1,4,PF10431,ClpB_D2-small
NP_414973.1,2,PF00004,AAA
NP_414973.1,2,PF13541,ChlI
NP_414980.2,2,PF00702,Hydrolase
NP_414980.2,2,PF08282,Hydrolase_3
NP_414982.1,2,PF00005,ABC_tran
NP_414982.1,2,PF00664,ABC_membrane
NP_414983.1,2,PF00005,ABC_tran
NP_414983.1,2,PF00664,ABC_membrane
NP_415003.1,2,PF00004,AAA
NP_415003.1,2,PF13177,DNA_pol3_delta2
NP_415005.1,3,PF01751,Toprim
NP_415005.1,3,PF02132,RecR_ZnF
NP_415005.1,3,PF13662,Toprim_4
NP_415011.1,2,PF00999,Na_H_Exchanger
NP_415011.1,2,PF02254,TrkA_N
NP_415017.1,3,PF00122,E1-E2_ATPase
NP_415017.1,3,PF00702,Hydrolase
NP_415017.1,3,PF08282,Hydrolase_3
NP_415023.1,3,PF00004,AAA
NP_415023.1,3,PF00005,ABC_tran
NP_415023.1,3,PF02463,SMC_N
NP_415026.1,2,PF00106,adh_short
NP_415026.1,2,PF13561,adh_short_C2
NP_415037.1,2,PF00126,HTH_1
NP_415037.1,2,PF03466,LysR_substrate
NP_415040.1,2,PF02775,TPP_enzyme_C
NP_415040.1,2,PF02776,TPP_enzyme_N
NP_415059.1,3,PF00133,tRNA-synt_1
NP_415059.1,3,PF01406,tRNA-synt_1e
NP_415059.1,3,PF09334,tRNA-synt_1g
NP_415062.1,2,PF00763,THF_DHG_CYH
NP_415062.1,2,PF02882,THF_DHG_CYH_C
NP_415102.1,3,PF00512,HisKA
NP_415102.1,3,PF00672,HAMP
NP_415102.1,3,PF02518,HATPase_c
NP_415103.1,2,PF00072,Response_reg
NP_415103.1,2,PF00486,Trans_reg_C
NP_415118.1,2,PF00501,AMP-binding
NP_415118.1,2,PF00550,PP-binding
NP_415126.1,2,PF00501,AMP-binding
NP_415126.1,2,PF13193,AMP-binding_C
NP_415128.1,3,PF00106,adh_short
NP_415128.1,3,PF01370,Epimerase
NP_415128.1,3,PF13561,adh_short_C2
NP_415133.1,2,PF00155,Aminotran_1_2
NP_415133.1,2,PF01053,Cys_Met_Meta_PP
NP_415136.1,2,PF00126,HTH_1
NP_415136.1,2,PF03466,LysR_substrate
NP_415141.1,2,PF00107,ADH_zinc_N
NP_415141.1,2,PF08240,ADH_N
NP_415162.4,2,PF00126,HTH_1
NP_415162.4,2,PF03466,LysR_substrate
NP_415168.1,2,PF00905,Transpeptidase
NP_415168.1,2,PF03717,PBP_dimer
NP_415175.1,4,PF00133,tRNA-synt_1
NP_415175.1,4,PF08264,Anticodon_1
NP_415175.1,4,PF09334,tRNA-synt_1g
NP_415175.1,4,PF13603,tRNA-synt_1_2
NP_415191.1,2,PF00571,CBS
NP_415191.1,2,PF03471,CorC_HlyC
NP_415201.1,2,PF00702,Hydrolase
NP_415201.1,2,PF13419,HAD_2
NP_415214.1,4,PF00408,PGM_PMM_IV
NP_415214.1,4,PF02878,PGM_PMM_I
NP_415214.1,4,PF02879,PGM_PMM_II
NP_415214.1,4,PF02880,PGM_PMM_III
NP_415222.1,2,PF00072,Response_reg
NP_415222.1,2,PF00486,Trans_reg_C
NP_415223.1,2,PF00512,HisKA
NP_415223.1,2,PF02518,HATPase_c
NP_415225.1,3,PF00122,E1-E2_ATPase
NP_415225.1,3,PF00702,Hydrolase
NP_415225.1,3,PF08282,Hydrolase_3
NP_415280.3,2,PF00106,adh_short
NP_415280.3,2,PF01370,Epimerase
NP_415281.1,2,PF00004,AAA
NP_415281.1,2,PF00005,ABC_tran
NP_415287.1,2,PF00702,Hydrolase
NP_415287.1,2,PF08282,Hydrolase_3
NP_415289.4,2,PF00126,HTH_1
NP_415289.4,2,PF03466,LysR_substrate
NP_415300.1,6,PF00270,DEAD
NP_415300.1,6,PF00271,Helicase_C
NP_415300.1,6,PF02151,UVR
NP_415300.1,6,PF04851,ResIII
NP_415300.1,6,PF12344,UvrB
NP_415300.1,6,PF17757,UvrB_inter
NP_415315.4,2,PF00004,AAA
NP_415315.4,2,PF00005,ABC_tran
NP_415318.1,3,PF00270,DEAD
NP_415318.1,3,PF00271,Helicase_C
NP_415318.1,3,PF04851,ResIII
NP_415320.1,2,PF00270,DEAD
NP_415320.1,2,PF04851,ResIII
NP_415341.1,3,PF00005,ABC_tran
NP_415341.1,3,PF01926,MMR_HSR1
NP_415341.1,3,PF12848,ABC_tran_Xtn
NP_415343.1,2,PF00702,Hydrolase
NP_415343.1,2,PF08282,Hydrolase_3
NP_415350.2,2,PF00005,ABC_tran
NP_415350.2,2,PF02463,SMC_N
NP_415365.4,2,PF00702,Hydrolase
NP_415365.4,2,PF08282,Hydrolase_3
NP_415380.1,2,PF05175,MTS
NP_415380.1,2,PF05958,tRNA_U5-meth_tr
NP_415389.2,2,PF00106,adh_short
NP_415389.2,2,PF01370,Epimerase
NP_415392.1,2,PF02775,TPP_enzyme_C
NP_415392.1,2,PF02776,TPP_enzyme_N
NP_415400.1,3,PF00005,ABC_tran
NP_415400.1,3,PF02687,FtsX
NP_415400.1,3,PF12704,MacB_PCD
NP_415403.1,6,PF00004,AAA
NP_415403.1,6,PF02861,Clp_N
NP_415403.1,6,PF04851,ResIII
NP_415403.1,6,PF07724,AAA_2
NP_415403.1,6,PF10431,ClpB_D2-small
NP_415403.1,6,PF17871,AAA_lid_9
NP_415406.1,2,PF00005,ABC_tran
NP_415406.1,2,PF00664,ABC_membrane
NP_415407.1,2,PF00005,ABC_tran
NP_415407.1,2,PF00664,ABC_membrane
NP_415410.1,3,PF01580,FtsK_SpoIIIE
NP_415410.1,3,PF09397,FtsK_gamma
NP_415410.1,3,PF17854,FtsK_alpha
NP_415412.1,4,PF00004,AAA
NP_415412.1,4,PF05496,RuvB_N
NP_415412.1,4,PF12002,MgsA_C
NP_415412.1,4,PF16193,AAA_assoc_2
NP_415413.1,2,PF00587,tRNA-synt_2b
NP_415413.1,2,PF02403,Seryl_tRNA_N
NP_415420.1,2,PF00126,HTH_1
NP_415420.1,2,PF03466,LysR_substrate
NP_415433.4,2,PF00753,Lactamase_B
NP_415433.4,2,PF03772,Competence
NP_415434.1,2,PF00005,ABC_tran
NP_415434.1,2,PF00664,ABC_membrane
NP_415441.1,2,PF05175,MTS
NP_415441.1,2,PF13649,Methyltransf_25
NP_415450.1,2,PF00152,tRNA-synt_2
NP_415450.1,2,PF01336,tRNA_anti-codon
NP_415468.1,3,PF03602,Cons_hypoth95
NP_415468.1,3,PF05175,MTS
NP_415468.1,3,PF13649,Methyltransf_25
NP_415469.1,6,PF00004,AAA
NP_415469.1,6,PF00005,ABC_tran
NP_415469.1,6,PF01926,MMR_HSR1
NP_415469.1,6,PF02367,TsaE
NP_415469.1,6,PF02463,SMC_N
NP_415469.1,6,PF12848,ABC_tran_Xtn
NP_415482.1,2,PF00580,UvrD-helicase
NP_415482.1,2,PF13361,UvrD_C
NP_415487.4,2,PF03602,Cons_hypoth95
NP_415487.4,2,PF05175,MTS
NP_415513.2,4,PF00072,Response_reg
NP_415513.2,4,PF00512,HisKA
NP_415513.2,4,PF00672,HAMP
NP_415513.2,4,PF02518,HATPase_c
NP_415515.1,2,PF00072,Response_reg
NP_415515.1,2,PF00486,Trans_reg_C
NP_415520.1,2,PF00226,DnaJ
NP_415520.1,2,PF01556,DnaJ_C
NP_415604.1,2,PF00849,PseudoU_synth_2
NP_415604.1,2,PF01479,S4
NP_415609.1,2,PF08541,ACP_syn_III_C
NP_415609.1,2,PF08545,ACP_syn_III
NP_415611.1,3,PF00106,adh_short
NP_415611.1,3,PF01370,Epimerase
NP_415611.1,3,PF13561,adh_short_C2
NP_415613.1,2,PF00109,ketoacyl-synt
NP_415613.1,2,PF02801,Ketoacyl-synt_C
NP_415627.1,2,PF01266,DAO
NP_415627.1,2,PF07992,Pyr_redox_2
NP_415632.1,6,PF00270,DEAD
NP_415632.1,6,PF00271,Helicase_C
NP_415632.1,6,PF02559,CarD_TRCF_RID
NP_415632.1,6,PF03461,TRCF
NP_415632.1,6,PF04851,ResIII
NP_415632.1,6,PF17757,UvrB_inter
NP_415634.1,2,PF02687,FtsX
NP_415634.1,2,PF12704,MacB_PCD
NP_415636.1,2,PF02687,FtsX
NP_415636.1,2,PF12704,MacB_PCD
NP_415648.1,2,PF00072,Response_reg
NP_415648.1,2,PF00486,Trans_reg_C
NP_415651.4,2,PF02540,NAD_synthase
NP_415651.4,2,PF03054,tRNA_Me_trans
NP_415707.1,2,PF01266,DAO
NP_415707.1,2,PF07992,Pyr_redox_2
NP_415708.1,2,PF00842,Ala_racemase_C
NP_415708.1,2,PF01168,Ala_racemase_N
NP_415709.2,3,PF00999,Na_H_Exchanger
NP_415709.2,3,PF02080,TrkA_C
NP_415709.2,3,PF03471,CorC_HlyC
NP_415721.1,2,PF01926,MMR_HSR1
NP_415721.1,2,PF06071,YchF-GTPase_C
NP_415725.1,3,PF00156,Pribosyltran
NP_415725.1,3,PF13793,Pribosyltran_N
NP_415725.1,3,PF14572,Pribosyl_synth
NP_415729.1,2,PF00472,RF-1
NP_415729.1,2,PF03462,PCRF
NP_415730.1,4,PF02390,Methyltransf_4
NP_415730.1,4,PF03602,Cons_hypoth95
NP_415730.1,4,PF05175,MTS
NP_415730.1,4,PF13649,Methyltransf_25
NP_415739.1,2,PF00072,Response_reg
NP_415739.1,2,PF04545,Sigma70_r4
NP_415740.1,2,PF00672,HAMP
NP_415740.1,2,PF02518,HATPase_c
NP_415785.1,2,PF00849,PseudoU_synth_2
NP_415785.1,2,PF01479,S4
NP_415787.1,3,PF00106,adh_short
NP_415787.1,3,PF01370,Epimerase
NP_415787.1,3,PF13561,adh_short_C2
NP_415790.1,2,PF01131,Topoisom_bac
NP_415790.1,2,PF01751,Toprim
NP_415791.1,2,PF00126,HTH_1
NP_415791.1,2,PF03466,LysR_substrate
NP_415804.1,2,PF00106,adh_short
NP_415804.1,2,PF13561,adh_short_C2
NP_415833.1,2,PF00702,Hydrolase
NP_415833.1,2,PF13419,HAD_2
NP_415844.1,2,PF00126,HTH_1
NP_415844.1,2,PF03466,LysR_substrate
NP_415855.1,2,PF00126,HTH_1
NP_415855.1,2,PF03466,LysR_substrate
NP_415859.1,3,PF00270,DEAD
NP_415859.1,3,PF00271,Helicase_C
NP_415859.1,3,PF04851,ResIII
NP_415931.4,2,PF00270,DEAD
NP_415931.4,2,PF00271,Helicase_C
NP_415939.2,2,PF00126,HTH_1
NP_415939.2,2,PF03466,LysR_substrate
NP_415947.1,2,PF05175,MTS
NP_415947.1,2,PF13649,Methyltransf_25
NP_415995.4,2,PF00107,ADH_zinc_N
NP_415995.4,2,PF08240,ADH_N
NP_416011.1,2,PF00675,Peptidase_M16
NP_416011.1,2,PF05193,Peptidase_M16_C
NP_416036.1,2,PF05175,MTS
NP_416036.1,2,PF13649,Methyltransf_25
NP_416043.1,2,PF00126,HTH_1
NP_416043.1,2,PF03466,LysR_substrate
NP_416057.1,3,PF00106,adh_short
NP_416057.1,3,PF01370,Epimerase
NP_416057.1,3,PF13561,adh_short_C2
NP_416097.1,2,PF00107,ADH_zinc_N
NP_416097.1,2,PF08240,ADH_N
NP_416112.1,2,PF00126,HTH_1
NP_416112.1,2,PF03466,LysR_substrate
NP_416123.1,2,PF00106,adh_short
NP_416123.1,2,PF13561,adh_short_C2
NP_416125.2,2,PF00072,Response_reg
NP_416125.2,2,PF00486,Trans_reg_C
NP_416126.1,3,PF00512,HisKA
NP_416126.1,3,PF00672,HAMP
NP_416126.1,3,PF02518,HATPase_c
NP_416136.1,2,PF00106,adh_short
NP_416136.1,2,PF13561,adh_short_C2
NP_416154.1,2,PF00579,tRNA-synt_1b
NP_416154.1,2,PF01479,S4
NP_416170.1,3,PF00270,DEAD
NP_416170.1,3,PF00271,Helicase_C
NP_416170.1,3,PF04851,ResIII
NP_416176.1,2,PF00126,HTH_1
NP_416176.1,2,PF03466,LysR_substrate
NP_416178.1,2,PF05175,MTS
NP_416178.1,2,PF13649,Methyltransf_25
NP_416214.1,2,PF01266,DAO
NP_416214.1,2,PF07992,Pyr_redox_2
NP_416216.5,2,PF00501,AMP-binding
NP_416216.5,2,PF13193,AMP-binding_C
NP_416228.1,5,PF01588,tRNA_bind
NP_416228.1,5,PF03147,FDX-ACB
NP_416228.1,5,PF03483,B3_4
NP_416228.1,5,PF03484,B5
NP_416228.1,5,PF17759,tRNA_synthFbeta
NP_416229.1,2,PF01409,tRNA-synt_2d
NP_416229.1,2,PF02912,Phe_tRNA-synt_N
NP_416234.1,4,PF00587,tRNA-synt_2b
NP_416234.1,4,PF02824,TGS
NP_416234.1,4,PF03129,HGTP_anticodon
NP_416234.1,4,PF07973,tRNA_SAD
NP_416241.1,2,PF00702,Hydrolase
NP_416241.1,2,PF13419,HAD_2
NP_416277.1,2,PF01131,Topoisom_bac
NP_416277.1,2,PF01751,Toprim
NP_416278.1,2,PF00586,AIRS
NP_416278.1,2,PF02769,AIRS_C
NP_416288.1,2,PF00107,ADH_zinc_N
NP_416288.1,2,PF08240,ADH_N
NP_416290.1,2,PF00107,ADH_zinc_N
NP_416290.1,2,PF08240,ADH_N
NP_416293.1,2,PF00044,Gp_dh_N
NP_416293.1,2,PF02800,Gp_dh_C
NP_416313.4,2,PF00126,HTH_1
NP_416313.4,2,PF03466,LysR_substrate
NP_416319.1,2,PF00501,AMP-binding
NP_416319.1,2,PF13193,AMP-binding_C
NP_416322.1,2,PF00270,DEAD
NP_416322.1,2,PF04851,ResIII
NP_416330.1,2,PF00571,CBS
NP_416330.1,2,PF03471,CorC_HlyC
NP_416336.1,3,PF02390,Methyltransf_4
NP_416336.1,3,PF05175,MTS
NP_416336.1,3,PF13649,Methyltransf_25
NP_416363.1,2,PF02786,CPSase_L_D2
NP_416363.1,2,PF07478,Dala_Dala_lig_C
NP_416374.1,4,PF00004,AAA
NP_416374.1,4,PF05491,WHD_RuvB
NP_416374.1,4,PF05496,RuvB_N
NP_416374.1,4,PF17864,AAA_lid_4
NP_416375.1,3,PF01330,RuvA_N
NP_416375.1,3,PF07499,RuvA_C
NP_416375.1,3,PF14520,HHH_5
NP_416380.1,2,PF00152,tRNA-synt_2
NP_416380.1,2,PF01336,tRNA_anti-codon
NP_416390.1,3,PF00750,tRNA-synt_1d
NP_416390.1,3,PF03485,Arg_tRNA_synt_N
NP_416390.1,3,PF05746,DALR_1
NP_416423.4,4,PF01541,GIY-YIG
NP_416423.4,4,PF02151,UVR
NP_416423.4,4,PF08459,UvrC_RNaseH_dom
NP_416423.4,4,PF14520,HHH_5
NP_416432.3,3,PF04539,Sigma70_r3
NP_416432.3,3,PF04542,Sigma70_r2
NP_416432.3,3,PF04545,Sigma70_r4
NP_416477.1,2,PF00512,HisKA
NP_416477.1,2,PF02518,HATPase_c
NP_416478.2,2,PF00072,Response_reg
NP_416478.2,2,PF00486,Trans_reg_C
NP_416492.1,2,PF00126,HTH_1
NP_416492.1,2,PF03466,LysR_substrate
NP_416493.1,2,PF00126,HTH_1
NP_416493.1,2,PF03466,LysR_substrate
NP_416519.4,2,PF00126,HTH_1
NP_416519.4,2,PF03466,LysR_substrate
NP_416548.1,2,PF00534,Glycos_transf_1
NP_416548.1,2,PF13439,Glyco_transf_4
NP_416552.1,4,PF00408,PGM_PMM_IV
NP_416552.1,4,PF02878,PGM_PMM_I
NP_416552.1,4,PF02879,PGM_PMM_II
NP_416552.1,4,PF02880,PGM_PMM_III
NP_416554.1,2,PF00534,Glycos_transf_1
NP_416554.1,2,PF13439,Glyco_transf_4
NP_416561.1,2,PF00534,Glycos_transf_1
NP_416561.1,2,PF13439,Glyco_transf_4
NP_416567.4,2,PF00571,CBS
NP_416567.4,2,PF03471,CorC_HlyC
NP_416582.1,3,PF00512,HisKA
NP_416582.1,3,PF00672,HAMP
NP_416582.1,3,PF02518,HATPase_c
NP_416583.1,2,PF00072,Response_reg
NP_416583.1,2,PF00486,Trans_reg_C
NP_416594.1,2,PF00107,ADH_zinc_N
NP_416594.1,2,PF08240,ADH_N
NP_416617.1,4,PF00133,tRNA-synt_1
NP_416617.1,4,PF01406,tRNA-synt_1e
NP_416617.1,4,PF01588,tRNA_bind
NP_416617.1,4,PF09334,tRNA-synt_1g
NP_416633.1,2,PF00005,ABC_tran
NP_416633.1,2,PF00571,CBS
NP_416641.1,2,PF00106,adh_short
NP_416641.1,2,PF13561,adh_short_C2
NP_416651.1,2,PF01266,DAO
NP_416651.1,2,PF07992,Pyr_redox_2
NP_416652.4,2,PF01180,DHO_dh
NP_416652.4,2,PF01207,Dus
NP_416662.1,2,PF00126,HTH_1
NP_416662.1,2,PF03466,LysR_substrate
NP_416676.4,3,PF01132,EFP
NP_416676.4,3,PF08207,EFP_N
NP_416676.4,3,PF09285,Elong-fact-P_C
NP_416685.1,2,PF00005,ABC_tran
NP_416685.1,2,PF02463,SMC_N
NP_416688.1,2,PF00849,PseudoU_synth_2
NP_416688.1,2,PF01479,S4
NP_416689.1,3,PF00270,DEAD
NP_416689.1,3,PF00271,Helicase_C
NP_416689.1,3,PF04851,ResIII
NP_416722.2,3,PF00072,Response_reg
NP_416722.2,3,PF00512,HisKA
NP_416722.2,3,PF02518,HATPase_c
NP_416723.1,2,PF00512,HisKA
NP_416723.1,2,PF02518,HATPase_c
NP_416724.1,2,PF00004,AAA
NP_416724.1,2,PF00072,Response_reg
NP_416734.1,2,PF00521,DNA_topoisoIV
NP_416734.1,2,PF03989,DNA_gyraseA_C
NP_416735.1,2,PF05175,MTS
NP_416735.1,2,PF13649,Methyltransf_25
NP_416737.1,2,PF02867,Ribonuc_red_lgC
NP_416737.1,2,PF03477,ATP-cone
NP_416756.6,3,PF00155,Aminotran_1_2
NP_416756.6,3,PF00266,Aminotran_5
NP_416756.6,3,PF01053,Cys_Met_Meta_PP
NP_416758.1,3,PF00551,Formyl_trans_N
NP_416758.1,3,PF01370,Epimerase
NP_416758.1,3,PF02911,Formyl_trans_C
NP_416763.1,2,PF00501,AMP-binding
NP_416763.1,2,PF13193,AMP-binding_C
NP_416767.1,2,PF02775,TPP_enzyme_C
NP_416767.1,2,PF02776,TPP_enzyme_N
NP_416792.1,2,PF00126,HTH_1
NP_416792.1,2,PF03466,LysR_substrate
NP_416796.2,2,PF00702,Hydrolase
NP_416796.2,2,PF13419,HAD_2
NP_416815.1,2,PF00156,Pribosyltran
NP_416815.1,2,PF13522,GATase_6
NP_416818.1,2,PF02875,Mur_ligase_C
NP_416818.1,2,PF08245,Mur_ligase_M
NP_416822.1,2,PF01118,Semialdhyde_dh
NP_416822.1,2,PF02774,Semialdhyde_dhC
NP_416826.1,2,PF00109,ketoacyl-synt
NP_416826.1,2,PF02801,Ketoacyl-synt_C
NP_416833.4,3,PF03602,Cons_hypoth95
NP_416833.4,3,PF05175,MTS
NP_416833.4,3,PF13649,Methyltransf_25
NP_416865.1,2,PF00126,HTH_1
NP_416865.1,2,PF03466,LysR_substrate
NP_416871.1,3,PF00072,Response_reg
NP_416871.1,3,PF00512,HisKA
NP_416871.1,3,PF02518,HATPase_c
NP_416874.1,2,PF02775,TPP_enzyme_C
NP_416874.1,2,PF02776,TPP_enzyme_N
NP_416900.1,2,PF00126,HTH_1
NP_416900.1,2,PF03466,LysR_substrate
NP_416904.1,2,PF00126,HTH_1
NP_416904.1,2,PF03466,LysR_substrate
NP_416906.1,5,PF00533,BRCT
NP_416906.1,5,PF01653,DNA_ligase_aden
NP_416906.1,5,PF03120,OB_DNA_ligase
NP_416906.1,5,PF12826,HHH_2
NP_416906.1,5,PF14520,HHH_5
NP_416921.4,2,PF00106,adh_short
NP_416921.4,2,PF13561,adh_short_C2
NP_416960.1,3,PF00456,Transketolase_N
NP_416960.1,3,PF02779,Transket_pyr
NP_416960.1,3,PF02780,Transketolase_C
NP_416964.1,2,PF00672,HAMP
NP_416964.1,2,PF02518,HATPase_c
NP_416994.1,2,PF00586,AIRS
NP_416994.1,2,PF02769,AIRS_C
NP_417002.1,4,PF00117,GATase
NP_417002.1,4,PF00958,GMP_synt_C
NP_417002.1,4,PF02540,NAD_synthase
NP_417002.1,4,PF03054,tRNA_Me_trans
NP_417003.1,2,PF00478,IMPDH
NP_417003.1,2,PF00571,CBS
NP_417004.1,3,PF01336,tRNA_anti-codon
NP_417004.1,3,PF02601,Exonuc_VII_L
NP_417004.1,3,PF13742,tRNA_anti_2
NP_417006.2,3,PF00009,GTP_EFTU
NP_417006.2,3,PF01926,MMR_HSR1
NP_417006.2,3,PF14714,KH_dom-like
NP_417009.1,3,PF00587,tRNA-synt_2b
NP_417009.1,3,PF03129,HGTP_anticodon
NP_417009.1,3,PF13393,tRNA-synt_His
NP_417014.1,2,PF00905,Transpeptidase
NP_417014.1,2,PF00912,Transgly
NP_417032.1,2,PF00126,HTH_1
NP_417032.1,2,PF03466,LysR_substrate
NP_417036.1,2,PF00106,adh_short
NP_417036.1,2,PF13561,adh_short_C2
NP_417037.1,2,PF01266,DAO
NP_417037.1,2,PF07992,Pyr_redox_2
NP_417040.2,2,PF00107,ADH_zinc_N
NP_417040.2,2,PF08240,ADH_N
NP_417046.1,2,PF00155,Aminotran_1_2
NP_417046.1,2,PF00464,SHMT
NP_417051.2,3,PF00512,HisKA
NP_417051.2,3,PF00672,HAMP
NP_417051.2,3,PF02518,HATPase_c
NP_417060.1,2,PF02565,RecO_C
NP_417060.1,2,PF11967,RecO_N
NP_417061.1,3,PF00009,GTP_EFTU
NP_417061.1,3,PF01926,MMR_HSR1
NP_417061.1,3,PF07650,KH_2
NP_417062.1,2,PF00035,dsrm
NP_417062.1,2,PF14622,Ribonucleas_3_3
NP_417064.1,4,PF00009,GTP_EFTU
NP_417064.1,4,PF00679,EFG_C
NP_417064.1,4,PF03144,GTP_EFTU_D2
NP_417064.1,4,PF06421,LepA_C
NP_417068.1,2,PF04542,Sigma70_r2
NP_417068.1,2,PF04545,Sigma70_r4
NP_417069.1,2,PF01266,DAO
NP_417069.1,2,PF07992,Pyr_redox_2
NP_417070.2,3,PF03602,Cons_hypoth95
NP_417070.2,3,PF05175,MTS
NP_417070.2,3,PF13649,Methyltransf_25
NP_417071.1,3,PF00270,DEAD
NP_417071.1,3,PF00271,Helicase_C
NP_417071.1,3,PF04851,ResIII
NP_417072.4,2,PF00126,HTH_1
