protein,pfam_name,pfam_accession,full_seq_evalue,full_seq_score,full_seq_bias,best_domain_evalue,best_domain_score,best_domain_bias
NP_414587.1,MFS_1,PF07690,1.8e-42,140.4,58.7,6.5e-39,128.7,32.7
NP_414589.1,Na_H_Exchanger,PF00999,7.1e-60,197.7,44.6,9.8e-60,197.2,44.6
NP_414589.1,TrkA_N,PF02254,3.7e-30,99.6,0.1,1.2e-29,98.0,0.0
NP_414591.1,Metallophos,PF00149,1.3e-18,63.1,0.1,4.8e-18,61.2,0.0
NP_414593.1,RrnaAD,PF00398,1.5e-99,327.3,0.0,1.7e-99,327.1,0.0
NP_414597.1,DnaJ,PF00226,2.4e-12,41.8,0.1,4.8e-12,40.8,0.1
NP_414600.1,PseudoU_synth_2,PF00849,1.3e-33,111.3,0.0,1.6e-33,111.0,0.0
NP_414601.1,Helicase_C,PF00271,8.2e-24,79.0,0.0,2e-21,71.3,0.0
NP_414601.1,ResIII,PF04851,2.3e-13,45.3,0.0,7.5e-13,43.7,0.0
NP_414601.1,DEAD,PF00270,1.5e-08,29.5,0.0,7.3e-08,27.2,0.0
NP_414607.1,VTT_dom,PF09335,6.3e-21,70.1,9.4,7.5e-21,69.9,1.5
NP_414608.1,ABC_tran,PF00005,1.1e-40,134.4,0.0,1.8e-40,133.6,0.0
NP_414609.1,BPD_transp_1,PF00528,2.7e-15,51.5,24.0,1.4e-10,36.1,10.9
NP_414611.1,SBP_bac_5,PF00496,5.7e-23,76.5,0.0,6.4e-21,69.7,0.0
NP_414616.1,HMGL-like,PF00682,1.3e-109,360.4,4.8,2e-109,359.8,4.8
NP_414618.4,HTH_1,PF00126,2.1e-19,64.2,0.0,3.9e-19,63.4,0.0
NP_414618.4,LysR_substrate,PF03466,2.9e-19,64.2,0.0,4.5e-19,63.6,0.0
NP_414624.1,Methyltransf_5,PF01795,1.4e-125,413.8,0.0,1.6e-125,413.6,0.0
NP_414626.1,Transpeptidase,PF00905,3.4e-89,293.9,0.0,4.4e-89,293.5,0.0
NP_414626.1,PBP_dimer,PF03717,1.4e-24,82.5,0.0,2.5e-23,78.4,0.0
NP_414627.1,Mur_ligase_M,PF08245,4.8e-56,184.8,0.1,7.3e-56,184.2,0.1
NP_414627.1,Mur_ligase_C,PF02875,3.1e-37,123.2,0.5,3.1e-37,123.2,0.5
NP_414627.1,Mur_ligase,PF01225,5.3e-12,40.9,0.8,3.2e-11,38.5,0.2
NP_414628.1,Mur_ligase_M,PF08245,4.6e-55,181.6,0.0,8.2e-55,180.8,0.0
NP_414628.1,Mur_ligase_C,PF02875,4.5e-17,58.0,4.4,1.8e-16,56.1,0.7
NP_414628.1,Mur_ligase,PF01225,1.2e-08,30.2,0.0,6.4e-08,27.9,0.0
NP_414629.1,Glycos_transf_4,PF00953,1.1e-33,111.5,16.9,1.1e-33,111.5,16.9
NP_414630.1,Mur_ligase_M,PF08245,1.4e-28,95.1,0.1,2.2e-28,94.5,0.1
NP_414630.1,Mur_ligase_C,PF02875,6.1e-18,60.9,0.0,1.4e-17,59.6,0.0
NP_414631.1,FTSW_RODA_SPOVE,PF01098,8e-137,450.8,23.6,9.5e-137,450.6,23.6
NP_414632.1,Glyco_transf_28,PF03033,1.3e-51,169.3,0.2,2.5e-51,168.3,0.2
NP_414632.1,Glyco_tran_28_C,PF04101,2e-40,133.4,0.0,2.7e-40,133.0,0.0
NP_414632.1,Glyco_transf_4,PF13439,5.2e-09,31.3,0.1,1.9e-08,29.4,0.1
NP_414633.1,Mur_ligase,PF01225,5.2e-36,117.9,0.3,1.2e-35,116.8,0.3
NP_414633.1,Mur_ligase_M,PF08245,8.2e-29,95.9,0.0,1.2e-28,95.3,0.0
NP_414633.1,Mur_ligase_C,PF02875,8.9e-18,60.3,0.0,5.5e-17,57.8,0.0
NP_414634.1,Dala_Dala_lig_C,PF07478,1.3e-76,251.6,0.0,1.6e-76,251.3,0.0
NP_414634.1,Dala_Dala_lig_N,PF01820,9.2e-22,72.8,1.1,1.5e-12,43.0,0.3
NP_414634.1,CPSase_L_D2,PF02786,4e-09,31.2,0.0,2e-08,28.9,0.0
NP_414637.1,Tubulin,PF00091,2.1e-53,176.4,1.6,3e-53,175.8,1.6
NP_414637.1,FtsZ_C,PF12327,5.9e-39,127.3,1.1,1.8e-38,125.8,1.1
NP_414640.1,SecA_DEAD,PF07517,1.1e-132,436.5,0.3,2.2e-132,435.6,0.3
NP_414640.1,SecA_SW,PF07516,1.6e-74,245.2,5.3,1.6e-74,245.2,5.3
NP_414640.1,DEAD,PF00270,7.5e-08,27.2,0.0,3.3e-07,25.1,0.0
NP_414641.1,NUDIX,PF00293,5.8e-25,82.8,0.9,6.8e-25,82.6,0.9
NP_414645.1,CoaE,PF01121,5.4e-79,259.0,0.3,6.9e-79,258.6,0.3
NP_414645.1,SKI,PF01202,2.8e-06,22.5,0.8,0.012,10.6,0.1
NP_414646.1,IMPDH,PF00478,6.3e-78,257.0,0.5,7.9e-78,256.7,0.5
NP_414649.1,T2SSE,PF00437,2.2e-148,488.7,0.0,2.6e-148,488.5,0.0
NP_414656.1,Transketolase_N,PF00456,1.1e-17,58.9,0.1,3.5e-11,37.5,0.0
NP_414657.1,Biotin_lipoyl,PF00364,3.3e-69,223.7,34.9,1.1e-24,81.0,5.5
NP_414658.1,Pyr_redox_2,PF07992,2.9e-68,225.3,4.2,4.2e-68,224.8,4.2
NP_414658.1,Pyr_redox_dim,PF02852,5.1e-39,127.9,0.1,1.3e-38,126.5,0.1
NP_414667.4,Pribosyltran,PF00156,3.2e-28,93.0,0.0,3.8e-28,92.7,0.0
NP_414669.1,ABC_tran,PF00005,5.6e-35,115.9,0.0,9.9e-35,115.1,0.0
NP_414685.4,PolyA_pol,PF01743,3.6e-43,141.9,0.5,1.6e-42,139.7,0.1
NP_414685.4,PolyA_pol_RNAbd,PF12627,1.4e-22,74.2,0.2,6.7e-22,72.0,0.0
NP_414686.3,tRNA-synt_1c,PF00749,4.4e-50,165.2,0.0,4.2e-49,162.0,0.0
NP_414690.4,DEAD,PF00270,6.1e-14,47.0,0.0,1.4e-13,45.9,0.0
NP_414690.4,Helicase_C,PF00271,2.7e-11,38.7,0.0,4.8e-11,37.9,0.0
NP_414691.1,Transgly,PF00912,3e-58,191.1,0.0,4.7e-58,190.5,0.0
NP_414691.1,Transpeptidase,PF00905,4.2e-26,86.7,0.0,1e-25,85.5,0.0
NP_414693.1,ABC_tran,PF00005,9.6e-37,121.6,0.0,1.2e-36,121.2,0.0
NP_414701.1,PNP_UDP_1,PF01048,1.1e-57,190.0,2.3,1.3e-57,189.8,2.3
NP_414702.1,HD,PF01966,1.6e-09,33.0,0.0,4.8e-09,31.5,0.0
NP_414703.1,Trypsin_2,PF13365,1.9e-35,117.7,0.7,3.2e-35,117.0,0.7
NP_414703.1,PDZ_2,PF13180,8.6e-29,94.6,0.6,4.2e-16,54.0,0.0
NP_414706.2,Metallophos,PF00149,1.3e-14,50.0,0.0,1.8e-14,49.6,0.0
NP_414708.1,Hexapep,PF00132,4.2e-15,49.8,9.6,3.4e-09,31.1,1.3
NP_414709.1,HD,PF01966,1.3e-14,49.5,0.2,4e-14,47.9,0.1
NP_414710.1,Peptidase_M24,PF00557,6.6e-56,184.3,0.3,7.5e-56,184.1,0.3
NP_414711.1,Ribosomal_S2,PF00318,1.3e-98,323.4,0.0,1.5e-98,323.3,0.0
NP_414712.1,EF_TS,PF00889,3.8e-66,217.4,4.4,6.1e-66,216.8,4.4
NP_414713.1,AA_kinase,PF00696,7.3e-36,118.9,0.4,8.4e-36,118.8,0.4
NP_414714.1,RRF,PF01765,4.8e-70,229.6,1.6,6.2e-70,229.2,1.6
NP_414716.1,Prenyltransf,PF01255,2.2e-87,287.1,0.1,2.5e-87,286.9,0.1
NP_414717.2,CTP_transf_1,PF01148,4.8e-73,241.1,17.4,5.6e-73,240.9,17.4
NP_414718.1,Peptidase_M50,PF02163,6.4e-81,265.8,0.1,7.4e-81,265.6,0.1
NP_414718.1,PDZ_2,PF13180,5.1e-11,37.7,0.0,7.8e-10,33.9,0.0
NP_414721.1,Hexapep,PF00132,7.3e-34,109.2,41.2,1.8e-12,41.5,3.6
NP_414723.1,Hexapep,PF00132,3e-31,100.9,21.5,4.9e-11,36.9,0.1
NP_414725.1,RNase_HII,PF01351,1.2e-38,128.0,0.0,1.3e-38,127.8,0.0
NP_414726.1,DNA_pol3_alpha,PF07733,3.3e-108,356.1,0.0,7.7e-108,354.9,0.0
NP_414726.1,DNA_pol3_finger,PF17657,6e-69,225.6,0.0,9.9e-69,224.8,0.0
NP_414726.1,PHP,PF02811,1.6e-44,147.0,0.0,7.8e-44,144.8,0.0
NP_414726.1,HHH_6,PF14579,4.8e-30,98.6,0.0,1.1e-29,97.4,0.0
NP_414726.1,tRNA_anti-codon,PF01336,4.3e-13,44.0,0.1,9.5e-13,42.9,0.1
NP_414727.1,Carboxyl_trans,PF01039,8.5e-20,65.7,0.1,1e-19,65.4,0.1
NP_414730.1,ATP_bind_3,PF01171,1.8e-65,215.0,0.0,2.4e-65,214.6,0.0
NP_414733.1,RF-1,PF00472,9.8e-28,91.4,1.1,1.3e-27,91.0,1.1
NP_414736.1,tRNA-synt_2b,PF00587,9.1e-39,128.3,0.0,1.4e-38,127.7,0.0
NP_414736.1,HGTP_anticodon,PF03129,3.4e-24,79.8,0.1,8.2e-24,78.6,0.1
NP_414740.1,BPD_transp_1,PF00528,3.2e-22,74.1,20.6,3.2e-22,74.1,20.6
NP_414741.1,ABC_tran,PF00005,1.2e-40,134.3,0.0,2.2e-40,133.4,0.0
NP_414742.1,HAD_2,PF13419,7.4e-13,43.8,0.0,1.2e-07,26.8,0.0
NP_414742.1,Hydrolase,PF00702,1e-11,40.5,0.3,1.3e-10,37.0,0.0
NP_414744.1,LysR_substrate,PF03466,7.8e-47,154.3,0.0,1.2e-46,153.7,0.0
NP_414744.1,HTH_1,PF00126,4e-24,79.3,1.4,1.9e-23,77.2,1.4
NP_414745.1,Exo_endo_phos,PF03372,1.2e-17,59.3,0.2,1.5e-17,59.0,0.2
NP_414746.1,Methyltransf_25,PF13649,4.5e-20,67.1,0.0,7.5e-20,66.4,0.0
NP_414747.1,LysM,PF01476,5.7e-34,110.8,0.2,2.5e-17,57.5,0.1
NP_414748.1,Lactamase_B,PF00753,6.5e-28,92.9,1.8,7.1e-26,86.3,1.8
NP_414751.1,RNase_T,PF00929,3.8e-46,152.5,0.5,6.8e-46,151.7,0.1
NP_414757.1,SIS,PF01380,2.4e-10,35.3,0.0,4.8e-10,34.3,0.0
NP_414766.1,IMS,PF00817,1e-52,173.0,0.0,1.7e-52,172.2,0.0
NP_414769.1,Acetyltransf_1,PF00583,2.1e-10,35.9,0.0,3.2e-10,35.3,0.0
NP_414772.1,Peptidase_M20,PF01546,7.7e-18,60.0,0.1,1.1e-17,59.5,0.1
NP_414773.1,Pribosyltran,PF00156,7.9e-19,62.4,0.0,1e-18,62.1,0.0
NP_414777.1,AA_kinase,PF00696,3.9e-49,162.4,2.3,5.1e-49,162.0,2.3
NP_414778.1,Aldedh,PF00171,2.8e-22,73.8,4.2,3e-17,57.2,2.1
NP_414787.4,MMR_HSR1,PF01926,1.6e-17,58.7,0.0,2.4e-17,58.0,0.0
NP_414788.1,LysR_substrate,PF03466,6.7e-30,98.9,0.0,9.5e-30,98.4,0.0
NP_414788.1,HTH_1,PF00126,1.2e-21,71.5,2.1,2.2e-21,70.6,2.1
NP_414796.2,ABC_tran,PF00005,1.2e-41,137.5,0.0,1.8e-41,136.9,0.0
NP_414802.2,DHDPS,PF00701,7.1e-87,285.7,0.0,8e-87,285.5,0.0
NP_414804.1,MFS_1,PF07690,8e-13,42.9,32.0,8e-13,42.9,32.0
NP_414807.1,OTCace,PF00185,1.9e-56,185.4,0.1,5.4e-56,183.9,0.2
NP_414807.1,OTCace_N,PF02729,9e-51,166.8,0.0,1.7e-50,166.0,0.0
NP_414815.1,Phage_integrase,PF00589,9e-19,62.8,0.0,1.8e-18,61.9,0.0
NP_414830.1,Ribosomal_L31,PF01197,1.4e-26,87.4,0.2,1.8e-26,87.1,0.2
NP_414838.2,Pyr_redox_2,PF07992,2.9e-63,208.9,0.3,3.7e-63,208.5,0.3
NP_414838.2,Pyr_redox_dim,PF02852,2.9e-31,102.9,0.0,5.7e-31,102.0,0.0
NP_414838.2,DAO,PF01266,2.2e-11,38.7,3.2,4.5e-05,18.0,0.0
NP_414846.1,Aldedh,PF00171,2e-182,601.8,0.0,2.2e-182,601.6,0.0
NP_414847.3,TetR_N,PF00440,1.4e-16,55.0,0.3,4.1e-16,53.5,0.0
NP_414850.1,LysR_substrate,PF03466,1.3e-24,81.7,0.0,1.8e-24,81.2,0.0
NP_414850.1,HTH_1,PF00126,2.2e-20,67.4,0.9,4.4e-20,66.4,0.9
NP_414854.1,CoA_binding,PF02629,1.8e-14,49.2,0.1,8.4e-13,43.9,0.0
NP_414857.1,AA_kinase,PF00696,1.4e-24,82.0,0.5,2.7e-24,81.1,0.5
NP_414858.1,Amidohydro_1,PF01979,8.3e-09,30.0,0.2,1.4e-08,29.3,0.2
NP_414859.1,ADH_zinc_N,PF00107,1.2e-29,97.8,0.1,2.1e-29,97.1,0.1
NP_414859.1,ADH_N,PF08240,1.3e-28,94.3,3.4,2.4e-28,93.4,3.4
NP_414869.1,AMP-binding,PF00501,4.1e-77,254.4,0.0,5.4e-77,254.0,0.0
NP_414869.1,AMP-binding_C,PF13193,5.3e-26,86.3,0.2,1.4e-25,85.0,0.2
NP_414871.1,Amidohydro_1,PF01979,4e-17,57.4,0.0,4.8e-17,57.1,0.0
NP_414872.3,LysR_substrate,PF03466,6.1e-55,180.7,4.1,9.3e-55,180.1,4.1
NP_414872.3,HTH_1,PF00126,3.6e-30,98.7,0.3,1.2e-29,97.0,0.3
NP_414875.1,MFS_1,PF07690,9.5e-30,98.5,48.2,9.5e-30,98.5,48.2
NP_414876.1,Hexapep,PF00132,3.8e-18,59.4,15.5,4.9e-13,43.2,8.7
NP_414877.1,MFS_1,PF07690,1.3e-24,81.6,54.5,2.6e-23,77.4,42.3
NP_414885.1,Semialdhyde_dh,PF01118,3.9e-12,41.6,0.0,9.3e-12,40.4,0.0
NP_414886.1,HMGL-like,PF00682,7.2e-72,236.8,2.4,1.3e-71,235.9,2.4
NP_414887.2,MFS_1,PF07690,4.2e-43,142.5,73.5,2e-40,133.6,46.9
NP_414890.1,ADH_N,PF08240,7.2e-27,88.7,1.9,7.2e-27,88.7,1.9
NP_414890.1,ADH_zinc_N,PF00107,3.8e-23,76.8,0.1,6.6e-23,76.0,0.1
NP_414897.1,Glycos_transf_2,PF00535,1e-29,98.6,0.0,1.4e-29,98.1,0.0
NP_414900.1,ABC_tran,PF00005,8e-37,121.8,0.0,1.1e-36,121.4,0.0
NP_414901.1,BPD_transp_1,PF00528,3.9e-27,90.1,18.6,3.9e-27,90.1,18.6
NP_414915.1,Dala_Dala_lig_C,PF07478,2.1e-84,277.0,0.0,2.9e-84,276.6,0.0
NP_414915.1,Dala_Dala_lig_N,PF01820,2.9e-38,126.1,0.0,5.4e-38,125.2,0.0
NP_414920.1,P5CR_dimer,PF14748,8.7e-42,136.6,1.4,1.6e-41,135.8,1.4
NP_414920.1,F420_oxidored,PF03807,1.1e-26,88.3,0.7,2.5e-26,87.1,0.7
NP_414922.1,SKI,PF01202,6.6e-51,167.5,0.0,7.5e-51,167.3,0.0
NP_414922.1,AAA,PF00004,8.6e-08,27.7,0.0,6.5e-06,21.6,0.0
NP_414930.3,MFS_1,PF07690,7e-44,145.0,61.3,1.4e-43,144.0,52.1
NP_414932.1,Metallophos,PF00149,1.3e-18,63.0,0.0,2.4e-18,62.2,0.0
NP_414933.1,Response_reg,PF00072,1.6e-31,103.8,0.0,2.3e-31,103.2,0.0
NP_414933.1,Trans_reg_C,PF00486,1.8e-31,103.0,0.0,2.9e-31,102.3,0.0
NP_414934.1,HATPase_c,PF02518,4.7e-32,105.7,0.1,9.1e-32,104.8,0.1
NP_414934.1,HisKA,PF00512,3.7e-22,73.2,1.3,5.3e-22,72.7,0.4
NP_414941.1,YajC,PF02699,6.3e-28,91.5,0.7,7.4e-28,91.3,0.7
NP_414947.1,ATP-cone,PF03477,8.4e-23,75.7,0.2,1.2e-22,75.3,0.2
NP_414948.1,dCMP_cyt_deam_1,PF00383,4.5e-26,85.7,0.5,7e-26,85.1,0.5
NP_414950.1,NusB,PF01029,3.1e-38,126.1,0.2,3.5e-38,126.0,0.2
NP_414951.1,AIRS,PF00586,7.1e-30,98.7,0.0,1.2e-29,98.0,0.0
NP_414951.1,AIRS_C,PF02769,4.8e-11,38.0,0.0,6.9e-11,37.5,0.0
NP_414954.1,Transket_pyr,PF02779,6.9e-50,164.0,0.0,1.3e-49,163.1,0.0
NP_414954.1,Transketolase_C,PF02780,4.7e-29,95.8,0.0,9.6e-29,94.8,0.0
NP_414954.1,TPP_enzyme_C,PF02775,2.3e-06,22.4,0.6,5.2e-06,21.3,0.1
NP_414955.1,polyprenyl_synt,PF00348,4.8e-61,201.0,0.1,5.8e-61,200.7,0.1
NP_414961.4,MFS_1,PF07690,7.6e-51,167.9,61.6,3.2e-44,146.1,41.7
NP_414967.1,MFS_1,PF07690,1.6e-35,117.5,70.8,5.2e-33,109.3,41.6
NP_414970.1,Trigger_N,PF05697,4.8e-46,151.6,0.4,4.8e-46,151.6,0.4
NP_414970.1,Trigger_C,PF05698,3.8e-43,142.3,10.8,3.8e-43,142.3,10.8
NP_414970.1,FKBP_C,PF00254,5.7e-20,66.4,0.2,1.4e-19,65.2,0.2
NP_414971.1,CLP_protease,PF00574,5.6e-91,298.3,0.0,6.5e-91,298.1,0.0
NP_414972.1,AAA_2,PF07724,1.7e-35,117.4,0.0,2.9e-35,116.7,0.0
NP_414972.1,zf-C4_ClpX,PF06689,1.7e-22,74.0,3.7,5e-22,72.5,3.7
NP_414972.1,AAA,PF00004,6.5e-18,60.4,0.0,4.6e-17,57.7,0.0
NP_414972.1,ClpB_D2-small,PF10431,5.5e-15,50.2,2.7,6.3e-15,50.0,0.5
NP_414973.1,AAA,PF00004,7.5e-23,76.4,0.0,1.7e-22,75.3,0.0
NP_414973.1,ChlI,PF13541,4.3e-08,28.1,0.0,1e-07,26.9,0.0
NP_414974.1,Bac_DNA_binding,PF00216,1.5e-36,119.5,0.1,1.7e-36,119.4,0.1
NP_414977.1,4HBT,PF03061,2.6e-14,48.3,0.0,3.5e-14,47.9,0.0
NP_414979.1,SBP_bac_5,PF00496,4.6e-19,63.6,0.0,2.7e-18,61.1,0.0
NP_414980.2,Hydrolase_3,PF08282,1e-51,171.1,0.0,1.1e-51,170.9,0.0
NP_414980.2,Hydrolase,PF00702,2.9e-11,39.0,0.2,8.9e-11,37.4,0.2
NP_414982.1,ABC_membrane,PF00664,3.1e-38,126.9,6.8,3.9e-38,126.6,6.8
NP_414982.1,ABC_tran,PF00005,1.4e-32,108.1,0.0,2.4e-32,107.3,0.0
NP_414983.1,ABC_membrane,PF00664,7.8e-43,142.0,9.9,1e-42,141.6,9.9
NP_414983.1,ABC_tran,PF00005,3.7e-33,110.0,0.0,7.3e-33,109.0,0.0
NP_414988.1,DNA_binding_1,PF01035,9.2e-29,94.1,0.1,1.2e-28,93.8,0.1
NP_414992.1,Hexapep,PF00132,4.7e-16,52.8,16.4,3.7e-13,43.6,7.7
NP_414997.1,TetR_N,PF00440,2.5e-21,70.2,0.0,3.7e-21,69.6,0.0
NP_414998.1,MS_channel_2nd,PF00924,2.6e-26,86.5,2.0,5e-26,85.6,2.0
NP_415002.1,Pribosyltran,PF00156,1.6e-16,54.9,0.0,2e-16,54.6,0.0
NP_415003.1,DNA_pol3_delta2,PF13177,3.8e-45,148.7,0.0,7e-45,147.8,0.0
NP_415003.1,AAA,PF00004,3.4e-13,45.1,0.0,1.9e-12,42.7,0.0
NP_415005.1,Toprim_4,PF13662,2.8e-27,89.8,0.0,5.1e-27,88.9,0.0
NP_415005.1,Toprim,PF01751,8.6e-18,59.3,0.0,1.4e-17,58.7,0.0
NP_415005.1,RecR_ZnF,PF02132,9e-09,30.0,6.2,1.7e-08,29.0,6.2
NP_415006.1,HATPase_c,PF02518,2.2e-10,36.0,0.1,4.4e-10,35.0,0.1
NP_415007.1,ADK,PF00406,1.4e-62,205.2,0.0,1.7e-62,205.0,0.0
NP_415010.1,PfkB,PF00294,2.3e-14,48.3,0.0,5.5e-10,33.9,0.0
NP_415011.1,Na_H_Exchanger,PF00999,3.8e-57,188.7,51.6,4.9e-57,188.4,51.6
NP_415011.1,TrkA_N,PF02254,1e-28,95.0,0.3,1.7e-28,94.2,0.3
NP_415012.1,MFS_1,PF07690,1.2e-41,137.7,51.4,4.7e-28,93.0,23.8
NP_415013.1,Metallophos,PF00149,8.7e-14,47.3,0.1,1.3e-13,46.8,0.1
NP_415016.4,HTH_3,PF01381,6e-13,43.6,0.0,3.3e-12,41.3,0.0
NP_415017.1,Hydrolase,PF00702,2.2e-41,137.3,4.2,4.6e-41,136.2,3.0
NP_415017.1,E1-E2_ATPase,PF00122,2.4e-29,96.1,0.6,4.7e-29,95.2,0.1
NP_415017.1,Hydrolase_3,PF08282,1.2e-10,36.4,1.0,8.1e-08,27.2,0.9
NP_415020.1,MerR_1,PF13411,1e-20,68.6,0.4,2.1e-20,67.6,0.0
NP_415023.1,ABC_tran,PF00005,3.8e-33,109.9,0.0,5.5e-33,109.4,0.0
NP_415023.1,SMC_N,PF02463,4.6e-12,40.7,0.4,1.3e-08,29.5,0.1
NP_415023.1,AAA,PF00004,1.9e-07,26.6,1.8,1e-05,20.9,1.8
NP_415025.4,Thioredoxin,PF00085,6.8e-21,69.2,0.0,1.3e-20,68.3,0.0
NP_415026.1,adh_short,PF00106,7.1e-41,134.8,0.0,8.6e-41,134.5,0.0
NP_415026.1,adh_short_C2,PF13561,1.4e-29,98.2,0.0,1.8e-29,97.9,0.0
NP_415028.1,ABC_tran,PF00005,1.5e-35,117.7,0.0,2e-35,117.3,0.0
NP_415029.1,FtsX,PF02687,1.4e-22,74.9,15.3,3.6e-14,47.8,7.8
NP_415036.1,Rhodanese,PF00581,1.8e-06,23.3,0.0,1.1e-05,20.8,0.0
NP_415037.1,LysR_substrate,PF03466,2.3e-25,84.1,0.1,3.2e-25,83.6,0.1
NP_415037.1,HTH_1,PF00126,1.4e-23,77.6,1.5,2.6e-23,76.7,1.0
NP_415040.1,TPP_enzyme_C,PF02775,2.3e-39,129.5,0.2,2.6e-37,122.9,0.1
NP_415040.1,TPP_enzyme_N,PF02776,2.4e-36,119.1,0.6,6.3e-36,117.7,0.6
NP_415042.1,F420_oxidored,PF03807,1.2e-08,30.5,0.1,9e-08,27.6,0.1
NP_415045.1,Amidohydro_1,PF01979,3.3e-20,67.5,0.1,1.8e-19,65.1,0.1
NP_415049.1,Peptidase_M20,PF01546,3.4e-28,93.9,0.0,4.5e-28,93.5,0.0
NP_415051.1,CoA_binding,PF02629,1.6e-14,49.4,0.0,4e-13,44.9,0.1
NP_415054.1,AA_kinase,PF00696,2e-27,91.3,0.0,3.2e-27,90.7,0.0
NP_415056.1,AIRC,PF00731,3.6e-66,216.2,0.9,4.1e-66,216.0,0.9
NP_415057.1,Metallophos,PF00149,2.5e-13,45.9,0.0,3.3e-13,45.4,0.0
NP_415058.1,Pro_isomerase,PF00160,1.3e-51,170.0,1.3,1.4e-51,169.8,1.3
NP_415059.1,tRNA-synt_1e,PF01406,4.1e-154,507.2,0.2,5.4e-154,506.8,0.2
NP_415059.1,tRNA-synt_1g,PF09334,2.3e-16,54.4,1.6,2.8e-08,27.8,0.2
NP_415059.1,tRNA-synt_1,PF00133,3.4e-08,27.5,0.1,5.1e-07,23.6,0.0
NP_415062.1,THF_DHG_CYH_C,PF02882,6e-62,202.4,0.4,1e-61,201.7,0.4
NP_415062.1,THF_DHG_CYH,PF00763,7.7e-45,146.8,0.1,1.2e-44,146.2,0.1
NP_415068.1,Response_reg,PF00072,2.5e-29,96.6,0.2,4e-29,96.0,0.2
NP_415069.1,Phage_integrase,PF00589,1e-48,160.3,0.3,5.4e-48,157.9,0.0
NP_415102.1,HATPase_c,PF02518,1.5e-28,94.4,0.0,2.7e-28,93.6,0.0
NP_415102.1,HisKA,PF00512,4.7e-15,50.4,1.5,1.4e-14,48.9,1.5
NP_415102.1,HAMP,PF00672,9.5e-13,43.3,0.0,3.2e-12,41.6,0.0
